"Seq","Invoice No.","Invoice Date","Status","Bill-to","Bill-to Name","Ship-to","Ship-To Name","Order Type","Order No.","Order Date","Pieces*","Cartons*","Amount*`","Delivery Date","Cancel Date","Ship Via","Sales Order","Approval No.","Cxl/Void Date","Consolidator","Factor","Pick Ticket No.","Div/Dept/Class","Salesperson","Reference","Shipped Date","Store No","Must Arrive Date", 
"23","101716","02/04/2014","Billed","EL0000","ELBERT DEPT STORE","EL0000","ELBERT DEPT STORE","Original Order","222077","10/21/2013","84","14","977.10","01/25/2014","03/30/2014","UPSN-UNITED PAR","001119","654563","","","W","","PB-GN-DS","JC","RGG131","","","",
"24","101726","02/04/2014","Billed","SC0001","SATURDAY NIGHT CLOTH","SC0001","SATURDAY NIGHT CLOTH","Original Order","102113","10/21/2013","42","7","429.30","01/25/2014","03/30/2014","UPSN-UNITED PAR","001125","653633","","","W","","PB-G4-3SS","JC","RGG131","","","",
"25","101721","02/04/2014","Billed","KK0001","KIDS KLOSET","KK0001","KIDS KLOSET","Original Order","102113","10/21/2013","48","8","486.30","01/25/2014","03/30/2014","UPSN-UNITED PAR","001126","752667","","","W","","PB-GN-ROM","JC","RGG131","","","",
"26","101724","02/04/2014","Billed","NF0001","NANCY'S FASHION","NF0001","NANCY'S FASHION","Original Order","262800","10/23/2013","66","11","527.10","01/25/2014","03/30/2014","UPSN-UNITED PAR","001130","652652","","","W","","PB-GN-ROM","JC","RGG131","","","",
"27","101720","02/04/2014","Billed","KI0001","KIM'S KOTTAGE","KI0001","KIM'S KOTTAGE","Original Order","102313","10/23/2013","18","3","151.80","01/25/2014","03/30/2014","UPSN-UNITED PAR","001131","652784","","","W","","PB-GN-3BS","JC","RGG131","","","",
"28","101717","02/04/2014","Billed","FO0001","F. OLAZABAL","FO0001","OLAZABAL","Original Order","1101","11/07/2013","114","19","926.10","11/15/2013","03/30/2014","CALL TO ROUTE","001245","693649","","","W","","PB-BI-ROM","RG","RGG131","","","",
"29","101489","01/28/2014","Billed","BB0001","BIG AL'S DEPARTMENT","BB0001","#1 BIG AL'S DEPARTME","Original Order","608727","11/25/2013","24","2","127.80","01/25/2014","02/25/2014","WRAGTIME","001267","781638","","","W","","PB-BT-2SS","EE","RGG119","","","",
"30","101497","01/28/2014","Billed","CT0001","COOKIE'S CHIDREN'S T","CT0001","#2 COOKIE'S CHIDREN'","Original Order","608727","11/25/2013","72","6","383.40","01/25/2014","02/25/2014","WRAGTIME","001268","783379","","","W","","PB-BT-2SS","EE","RGG119","","","",
"31","101508","01/28/2014","Billed","SU0001","SUNSHINE STORES INC.","SU0001","#3 SUNSHINE STORES I","Original Order","608727","11/25/2013","48","4","255.60","01/25/2014","02/25/2014","WRAGTIME","001269","781250","","","W","","PB-BT-2SS","EE","RGG119","","","",
"32","101495","01/28/2014","Billed","CM0001","COOKIE'S ON MELROSE","CM0001","COOKIE'S ON MELROSE","Original Order","608727","11/25/2013","72","6","383.40","01/25/2014","02/25/2014","WRAGTIME","001270","783373","","","W","","PB-BT-2SS","EE","RGG119","","","",
"33","101493","01/28/2014","Billed","CK0001","COOKIES DEPT. STORES","CK0005","#5 COOKIE'S ON FULTO","Original Order","608727","11/25/2013","96","8","511.20","01/25/2014","02/25/2014","WRAGTIME","001271","783376","","","W","","PB-BT-2SS","EE","RGG119","","","",
"34","101494","01/28/2014","Billed","CKC001","COOKIESKIDS.COM INC.","CKC001","#7 COOKIESKIDS.COM I","Original Order","608727","11/25/2013","144","12","766.80","01/25/2014","02/25/2014","WRAGTIME","001272","783371","","","W","","PB-BT-2SS","EE","RGG119","","","",
"35","101925","02/14/2014","Billed","GK0001","GIGI'S BABY & KIDS B","GK0001","GIGI'S BABY- REKENYA","Original Order","12213","12/02/2013","138","23","1409.40","01/01/2014","04/25/2014","HOLD! UPSN 3RD","001284","NONE","","","","","PB-G4-2PS","BB","RGG148","","","",
"36","101715","02/04/2014","Billed","BW0001","BUTTERWORTH HOSPITAL","BW0001","BUTTERWORTH HOSPITAL","Original Order","4","12/02/2013","24","4","255.00","01/15/2014","03/31/2014","UPSN-UNITED PAR","001285","783625","","","W","","PB-BI-2SS","KR","RGG131","","","",
"37","101719","02/04/2014","Billed","JU0001","JUST KIDDING AROUND","JU0001","JUST KIDDING AROUND","Original Order","3","12/02/2013","12","2","126.30","01/15/2014","03/31/2014","UPSN-UNITED PAR","001286","893263","","","W","","PB-BI-ROM","KR","RGG131","","","",
"38","101908","02/12/2014","Billed","KD0001","KIDDYTIME","KD0001","KIDDYTIME","Original Order","120413A","12/04/2013","864","72","5712.00","12/04/2013","02/25/2014","COSMO","001329","Line GB","","","W","","PB-BN-DS","EE","RGG142","","","",
"39","101897","02/11/2014","Billed","EV0001","EVANOFFS","EV0001","EVANOFFS","Original Order","5","12/04/2013","108","18","1238.40","02/15/2014","03/31/2014","FEDEX GROUND","001330","796605","12/04/2013","","W","","PB-GN-ROM","KR","RGG139","","","",
"40","101441","01/17/2014","Billed","SK0001","SHOPKO STORES OPERAT","SK0996","SHOPKO DC 996 (D)","Distro (from Bulk)","12390913","12/05/2013","960","120","2736.00","12/30/2013","01/06/2014","VENDOR PORTAL","001335","732848","","","W","","PB-GN-ROM","DS","RGG111","","","",
"41","101898","02/11/2014","Billed","KW0001","KIDSTOWN","KW0004","KIDSTOWN 4","Original Order","61454","12/05/2013","72","6","417.00","02/15/2014","03/10/2014","QUOTE FROM UCL","001344","812944","","","W","","PB-BT-3SS","EE","RGG139","","","",
"42","101901","02/11/2014","Billed","VE0001","VARSACE RETAIL SYTST","VE0008","KIDSTOWN 8","Original Order","61454","12/05/2013","84","7","478.80","02/15/2014","03/10/2014","QUOTE FROM UCL","001345","814305","","","W","","PB-BT-3SS","EE","RGG139","","","",
"43","101902","02/11/2014","Billed","VE0001","VARSACE RETAIL SYTST","VE0009","KIDS OUTLET 9","Original Order","61454","12/05/2013","72","6","417.00","02/15/2014","03/10/2014","QUOTE FROM UCL","001346","812944","","","W","","PB-BT-3SS","EE","RGG139","","","",
"44","101885","02/11/2014","Billed","DG0001","DOLGENCORP LLC","000519","DOLLAR GENERAL,LLC.","Distro (from Bulk)","F11FGH","12/11/2013","8352","174","26389.44","02/15/2014","02/15/2014"," VENDOR PORTAL","001407","592554","","","W","","PB-GN-3BS","DS","RGG138","","","",
"45","101886","02/11/2014","Billed","DG0001","DOLGENCORP LLC","000520","DOLLAR GENERAL,LLC.","Distro (from Bulk)","F11FGJ","12/11/2013","22176","462","70277.76","02/15/2014","02/15/2014"," VENDOR PORTAL","001408","592554","","","W","","PB-GN-3BS","DS","RGG138","","","",
"46","101887","02/11/2014","Billed","DG0001","DOLGENCORP LLC","000521","DOLLAR GENERAL,LLC.","Distro (from Bulk)","F11FGK","12/11/2013","7392","154","23337.60","02/15/2014","02/15/2014"," VENDOR PORTAL","001409","592554","","","W","","PB-GN-3BS","DS","RGG138","","","",
"47","101888","02/11/2014","Billed","DG0001","DOLGENCORP LLC","000522","DOLLAR GENERAL,LLC.","Distro (from Bulk)","F11FGM","12/11/2013","10896","227","34485.12","02/15/2014","02/15/2014"," VENDOR PORTAL","001410","592554","","","W","","PB-GN-3BS","DS","RGG138","","","",
"48","101889","02/11/2014","Billed","DG0001","DOLGENCORP LLC","000524","DOLLAR GENERAL,LLC.","Distro (from Bulk)","F11FGN","12/11/2013","11136","232","35137.92","02/15/2014","02/15/2014"," VENDOR PORTAL","001411","592554","","","W","","PB-GN-3BS","DS","RGG138","","","",
"49","101890","02/11/2014","Billed","DG0001","DOLGENCORP LLC","000525","DOLLAR GENERAL,LLC.","Distro (from Bulk)","F11FGP","12/11/2013","12240","255","38756.16","02/15/2014","02/15/2014"," VENDOR PORTAL","001412","592554","","","W","","PB-GN-3BS","DS","RGG138","","","",
"50","101891","02/11/2014","Billed","DG0001","DOLGENCORP LLC","000526","DOLLAR GENERAL,LLC.","Distro (from Bulk)","F11FGQ","12/11/2013","10080","210","31833.60","02/15/2014","02/15/2014"," VENDOR PORTAL","001413","592554","","","W","","PB-GN-3BS","DS","RGG138","","","",
"51","101892","02/11/2014","Billed","DG0001","DOLGENCORP LLC","000527","DOLLAR GENERAL,LLC.","Distro (from Bulk)","F11FGR","12/11/2013","7392","154","23274.24","02/15/2014","02/15/2014"," VENDOR PORTAL","001414","592524","","","W","","PB-GN-3BS","DS","RGG138","","","",
"52","101893","02/11/2014","Billed","DG0001","DOLGENCORP LLC","000528","DOLLAR GENERAL,LLC.","Distro (from Bulk)","F11FGT","12/11/2013","10560","220","33360.00","02/15/2014","02/15/2014"," VENDOR PORTAL","001415","492554","","","W","","PB-GN-3BS","DS","RGG138","","","",
"53","101894","02/11/2014","Billed","DG0001","DOLGENCORP LLC","000529","DOLLAR GENERAL,LLC.","Distro (from Bulk)","F11FGV","12/11/2013","11280","235","35628.48","02/15/2014","02/15/2014"," VENDOR PORTAL","001416","592554","","","W","","PB-GN-3BS","DS","RGG138","","","",
"54","101895","02/11/2014","Billed","DG0001","DOLGENCORP LLC","000530","DOLLAR GENERAL,LLC.","Distro (from Bulk)","F11FGW","12/11/2013","2640","55","8336.64","02/15/2014","02/15/2014"," VENDOR PORTAL","001417","592554","","","W","","PB-GN-3BS","DS","RGG138","","","",
"55","101896","02/11/2014","Billed","DG0001","DOLGENCORP LLC","002906","DOLLAR GENERAL","Distro (from Bulk)","F11FGX","12/11/2013","4992","104","15794.88","02/15/2014","02/15/2014","VENDOR PORTAL","001418","592554","","","W","","PB-GN-3BS","DS","RGG138","","","",
"56","101905","02/11/2014","Billed","NA0001","NATIONAL STORES","NA0001","NATIONAL STORES","Distro (from Bulk)","287525","12/16/2013","1140","190","7410.00","01/25/2014","02/15/2014","CALL TO ROUTE","001544","825846","","","W","","PB-G4-2LS","AF","RGG140","","","",
"57","101900","02/11/2014","Billed","PK0001","PENGUIN KIDS WEAR","PK0001","PENGUIN KIDS WEAR","Original Order","210","12/16/2013","360","30","2520.00","01/10/2014","02/10/2014","FEDEX","001545","890235","","","W","","PB-G7-DRW","EE","RGG139","","","",
"58","101944","02/14/2014","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20027556","12/18/2013","96","8","768.00","02/15/2014","02/21/2014","VENDOR PORTAL","001627","752780","","","W","","PB-G7-DRW","AF","RGG152","","","",
"59","101938","02/14/2014","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Distro (from Bulk)","20027546","12/19/2013","288","48","2016.00","02/15/2014","02/21/2014","VENDOR PORTAL","001678","983695","","","W","","PB-GI-2LS","AF","RGG152","","","",
"60","101939","02/14/2014","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Distro (from Bulk)","20027547","12/19/2013","240","40","1680.00","02/15/2014","02/21/2014","VENDOR PORTAL","001679","983696","","","W","","PB-GI-2LS","AF","RGG152","","","",
"61","101940","02/14/2014","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Distro (from Bulk)","20027549","12/19/2013","288","48","2160.00","02/15/2014","02/21/2014","VENDOR PORTAL","001681","983700","","","W","","PB-GT-2LS","AF","RGG152","","","",
"62","101941","02/14/2014","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Distro (from Bulk)","20027550","12/19/2013","240","40","1800.00","02/15/2014","02/21/2014","VENDOR PORTAL","001682","983703","","","W","","PB-GT-2LS","AF","RGG152","","","",
"63","101942","02/14/2014","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Distro (from Bulk)","20027552","12/19/2013","144","24","1152.00","02/15/2014","02/21/2014","VENDOR PORTAL","001684","983715","","","W","","PB-G4-2LS","AF","RGG152","","","",
"64","101943","02/14/2014","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Distro (from Bulk)","20027553","12/19/2013","       48","        8","       360.00","02/15/2014","02/21/2014","VENDOR PORTAL","001685","983716","","","W","","PB-GT-2LS","AF","RGG152","","","",
"65","101954","02/14/2014","Billed","ST0001","STAGE STORES INC","000992","STAGE STORES INC DC","Distro (from Bulk)","20027555","12/19/2013","240","40","1920.00","02/15/2014","02/21/2014","VENDOR PORTAL","001686","983718","","","W","","PB-G4-2LS","AF","RGG152","","","",
"66","101953","02/14/2014","Billed","ST0001","STAGE STORES INC","000992","STAGE STORES INC DC","Distro (from Bulk)","20027554","12/19/2013","192","32","1536.00","02/15/2014","02/21/2014","VENDOR PORTAL","001687","983718","","","W","","PB-G4-2LS","AF","RGG152","","","",
"67","101930","02/14/2014","Billed","IN0001","INGALLS HOSPITAL GIF","IN0001","INGALLS HOSPITAL GIF","Original Order","7","01/06/2014","72","12","891.30","01/15/2014","03/31/2014","UPSN-UNITED PAR","001860","IN HOUSE","","","","","PB-BI-ROM","KR","RGG149","","","",
"68","101722","02/04/2014","Billed","ND0001","NADINES","ND0001","NADINES","Original Order","8","01/06/2014","48","8","534.30","01/15/2014","03/31/2014","FEDEX GROUND","001861","891544","","","W","","PB-BI-ROM","JC","RGG131","","","",
"69","101498","01/28/2014","Billed","GB0001","GABRIEL BROTHERS","GB0001","GABRIEL BROTHERS","Distro (from Bulk)","100-0038000008 MM","01/10/2014","2160","180","10260.00","02/10/2014","02/17/2014","CALL TO ROUTE","001880","892979","","","W","","PB-GI-3SS","AF","RGG119","","","",
"70","101462","01/16/2014","Billed","LT0001","LTD COMMODITIES LLC","LT0001","LTD COMMODITIES LLC","Original Order","KLB01091401","01/15/2014","144","12","1080.00","01/15/2014","01/27/2014","CALL TO ROUTE","001892","889955","","","W","","PB-GN-4PC","EE","RGG113","","","",
"71","101931","02/14/2014","Billed","MM0001","9 MOIS MATERNITY","MM0001","9 MOIS MATERNITY  C/","Original Order","SPRING14","01/16/2014","162","27","1389.30","01/15/2014","04/25/2014","FEDEX","001901","IN HOUSE D","","","W","","PB-BI-2SS","BB","RGG149","","","",
"72","101510","01/28/2014","Billed","TO0002","TOMLINSONS","TO0002","TOMLINSONS","Original Order","11440","01/16/2014","60","10","450.00","02/01/2014","02/20/2014","UPS THIRD PARTY","001902","893252","","","W","","PB-GI-2LS","EE","RGG119","","","",
"73","101499","01/28/2014","Billed","HD0001","HOLLAND'S DEPARTMENT","HD0001","HOLLAND'S DEPARTMENT","Original Order","01140","01/22/2014","108","18","810.00","02/01/2014","02/20/2014","UPS THIRD PARTY","001913","908420","","","W","","PB-G4-2LS","EE","RGG119","","","",
"74","101904","02/11/2014","Billed","ZU0001","ZULILY","001416","ZULILY","Original Order","7001-P0000IUNTC-6-1S","01/23/2014","60","5","462.00","01/23/2014","01/23/2014","CALL TO ROUTE","001924","913757","","","W","","PB-BI-2PS","EE","RGG139","","","",
"75","101728","02/04/2014","Billed","JS0002","J AND S KIDSWEAR","JS0002","J AND S  KIDSWEAR #","Original Order","112603","10/21/2013","228","38","3192.00","01/25/2014","02/25/2014","Call to Route","001105","891504","","","W","","PB-GI-2LS","EE","RGG132","","","",
"76","101729","02/04/2014","Billed","JS0002","J AND S KIDSWEAR","JS0002","J AND S  KIDSWEAR #","Original Order","112609","10/21/2013","       72","        6","       684.00","01/25/2014","02/25/2014","Call to Route","001104","891500","","","W","","PB-BI-3SS","EE","RGG132","","","",
"77","101696","01/31/2014","Billed","JS0002","J AND S KIDSWEAR","JS0002","J AND S  KIDSWEAR #","Original Order","83615","09/19/2013","408","68","6018.00","02/01/2014","02/15/2014","CALL TO ROUTE","000794","884198","","","W","","PB-GT-2LS","EE","RGG126","","","",
"78","101913","02/14/2014","Billed","CSV002","C & S VALUE STORE #1","CSV002","C & S VALUE STORE #1","Original Order","1946","02/03/2014","239","32","830.50","02/10/2014","02/16/2014","CHEAPEST","002132","","","","","","PB-GN-2SS","GC","RGG147","","","",
"79","101907","02/12/2014","Billed","KD0001","KIDDYTIME","KD0001","KIDDYTIME","Original Order","020414","02/04/2014","144","12","720.00","02/04/2014","02/15/2014","CALL TO ROUTE","002136","Line GB","","","W","","PB-GN-5PC","EE","RGG142","","","",
"80","101713","02/04/2014","Billed","ZU0001","ZULILY","001416","ZULILY","Original Order","70745-P0000JNDOC6-2B","02/04/2014","       24","        2","       108.00","01/27/2014","01/31/2014","CALL TO ROUTE","002151","931385","","","W","","PB-BN-3BS","EE","RGG130","","","",
"81","101730","02/05/2014","Billed","ZU0001","ZULILY","001416","ZULILY","Original Order","70745-P0000JNDOC-62C","02/05/2014","       48","        4","       216.00","02/05/2014","02/05/2014","CALL TO ROUTE","002152","931385","","","W","","PB-BN-3BS","EE","RGG133","","","",
"82","101733","02/10/2014","Billed","ZU0001","ZULILY","001412","ZULILY","Distro (from Bulk)","73397-P0000K7BN4-6-1","02/05/2014","636","53","3957.00","02/05/2014","02/07/2014","CALL TO ROUTE","002153","936670","","","W","","PB-GN-4PC","EE","RGG135","","","",
"83","101910","02/12/2014","Billed","CLM001","CUTELITTLEMONSTER.CO","CML000","CUTELITTLEMONSTER.CO","Original Order","1061","02/05/2014","       12","        1","       183.00","02/06/2014","03/15/2014","FED-EX","002157","NONE","","","","","PB-GT-3SS","EY","RGG144","","","",
"84","101734","02/10/2014","Billed","ZU0001","ZULILY","001416","ZULILY","Distro (from Bulk)","69978-P0000KA6HC-6-1","02/06/2014","220","22","1760.00","02/06/2014","02/11/2014","CALL TO ROUTE","002162","961686","","","W","","PB-GI-DRW","EE","RGG135","","","",
"85","101899","02/11/2014","Billed","LS0001","LES MODES JM","LS0001","LES MODES JM","Original Order","4891","02/06/2014","144","12","1098.00","01/01/2014","05/15/2014","FEDX-FEDERAL EX","002167","956520","","","W","","PB-BI-2SL","BB","RGG139","","","",
"86","101906","02/11/2014","Billed","ZU0001","ZULILY","001416","ZULILY","Distro (from Bulk)","73726-P0000KF2CS-6-1","02/10/2014","6516","543","33729.00","02/11/2014","02/14/2014","CALL TO ROUTE","002199","973456","","","W","","PB-GN-4PC","EE","RGG141","","","",
"87","101738","02/10/2014","Billed","VF0001","VF OUTLET, INC.","002826","READING, PA  (01)","EDI Order","IBRMP0010309","02/04/2014","48","8","156.00","02/10/2014","02/21/2014","CALL TO ROUTE","002200","507268","","AVX","W","","PB-BI-ROM","AF","RGG136","","","",
"88","101740","02/10/2014","Billed","VF0001","VF OUTLET, INC.","002827","MONROEVILLE, AL  (02","EDI Order","IBRMP0020309","02/04/2014","12","2","39.00","02/10/2014","02/21/2014","CALL TO ROUTE","002201","507268","","AVX","W","","PB-BI-ROM","AF","RGG136","","","",
"89","101742","02/10/2014","Billed","VF0001","VF OUTLET, INC.","002828","N. DARTMOUTH, MA  (0","EDI Order","IBRMP0030309","02/04/2014","24","4","78.00","02/10/2014","02/21/2014","CALL TO ROUTE","002202","507268","","AVX","W","","PB-BI-ROM","AF","RGG136","","","",
"90","101744","02/10/2014","Billed","VF0001","VF OUTLET, INC.","002829","BOAZ, AL  (04)","EDI Order","IBRMP0040309","02/04/2014","24","4","78.00","02/10/2014","02/21/2014","CALL TO ROUTE","002203","507268","","AVX","W","","PB-BI-ROM","AF","RGG136","","","",
"91","101746","02/10/2014","Billed","VF0001","VF OUTLET, INC.","002830","MESA, AZ  (05)","EDI Order","IBRMP0050309","02/04/2014","24","4","78.00","02/10/2014","02/21/2014","CALL TO ROUTE","002204","507268","","AVX","W","","PB-BI-ROM","AF","RGG136","","","",
"92","101748","02/10/2014","Billed","VF0001","VF OUTLET, INC.","002831","SULPHUR SPRINGS, TX","EDI Order","IBRMP0070309","02/04/2014","24","4","78.00","02/10/2014","02/21/2014","CALL TO ROUTE","002205","507268","","AVX","W","","PB-BI-ROM","AF","RGG136","","","",
"93","101750","02/10/2014","Billed","VF0001","VF OUTLET, INC.","002832","GRACEVILLE, FL  (08)","EDI Order","IBRMP0080309","02/04/2014","12","2","39.00","02/10/2014","02/21/2014","CALL TO ROUTE","002206","507268","","AVX","W","","PB-BI-ROM","AF","RGG136","","","",
"94","101752","02/10/2014","Billed","VF0001","VF OUTLET, INC.","002833","DRAPER, UT  (09)","EDI Order","IBRMP0090309","02/04/2014","12","2","39.00","02/10/2014","02/21/2014","CALL TO ROUTE","002207","507268","","AVX","W","","PB-BI-ROM","AF","RGG136","","","",
"95","101754","02/10/2014","Billed","VF0001","VF OUTLET, INC.","002834","TUPELO, MS  (10)","EDI Order","IBRMP0100309","02/04/2014","12","2","39.00","02/10/2014","02/21/2014","CALL TO ROUTE","002208","507268","","AVX","W","","PB-BI-ROM","AF","RGG136","","","",
"96","101756","02/10/2014","Billed","VF0001","VF OUTLET, INC.","002835","UNION CITY, TN  (11)","EDI Order","IBRMP0110309","02/04/2014","12","2","39.00","02/10/2014","02/21/2014","CALL TO ROUTE","002209","507268","","AVX","W","","PB-BI-ROM","AF","RGG136","","","",
"97","101758","02/10/2014","Billed","VF0001","VF OUTLET, INC.","002836","CROSSVILLE, TN  (12)","EDI Order","IBRMP0120309","02/04/2014","24","4","78.00","02/10/2014","02/21/2014","CALL TO ROUTE","002210","507268","","AVX","W","","PB-BI-ROM","AF","RGG136","","","",
