"Seq","Name","Amount*","Remarks","Collection","Assign. No.","Date","Terms","Approval","Description","TS Status","Account No.","Cust PO","Status","Reference","Disc%","Freight*","Balance*","Due Date","Discount*","Type","Other*","Division","Aging","Past Due Status","Due Days","Charge Back No.","Salesperson","Sales Period","Date Paid","Batch","Cust Ck No.","Cust Ck Date","Cust Ck Amount","Factor","Assign. Date","Reason","Ship-To","Cust ChgBack No.","Trail","Manifest","Rank","Shipped on","Ship Via","Pieces*","Cartons*","Pro Number","TS Amount*","TS Freight*","TS Variance*","EDI Batch No.","Tracking No","TS Comments","State","Store","DC No.", 
"22","BEN ELIAS INDUSTRIES","2,496.00","SHIPPED ON 07/19. GCT REF # 125397.","No collection Info","000092","11/05/2013","NET 30","215375","","Shipped","BN0001","124787","Open","101071","  .00%",".00","2,496.00","12/05/2013",".00","Invoice",".00","PB","87","61 to 90"," 30","","JB","11/13","","","","","","W","11/11/2013","","BN0001","","101071","G00","","08/20/13","CALL TO ROUTE","   624","    52","","2,496.00","    .00",".00","","","","NY","","",
"23","BEN ELIAS INDUSTRIES","5,217.75","","No collection Info","000102","11/13/2013","NET 30","663369","","Shipped","BN0001","E 29018","Open","101111","  .00%",".00","5,217.75","12/13/2013",".00","Invoice",".00","PB","79","61 to 90"," 30","","AF","11/13","","","","","","W","11/20/2013","","BN0001","","101111","G277","","11/13/13","CALL TO ROUTE","   773","   773","","5,217.75","    .00",".00","","","","NY","","",
"24","BEN ELIAS INDUSTRIES","22,349.25","","No collection Info","000102","11/13/2013","NET 30","663369","","Shipped","BN0001","E 29018-1","Open","101112","  .00%",".00","22,349.25","12/13/2013",".00","Invoice",".00","PB","79","61 to 90"," 30","","AF","11/13","","","","","","W","11/20/2013","","BN0001","","101112","G277","","11/13/13","CALL TO ROUTE","  3311","  3311","","22,349.25","    .00",".00","","","","NY","","",
"25","BEN ELIAS INDUSTRIES","2,902.50","","No collection Info","000102","11/13/2013","NET 30","663369","","Shipped","BN0001","E 29020","Open","101113","  .00%",".00","2,902.50","12/13/2013",".00","Invoice",".00","PB","79","61 to 90"," 30","","AF","11/13","","","","","","W","11/20/2013","","BN0001","","101113","G277","","11/13/13","CALL TO ROUTE","   430","   430","","2,902.50","    .00",".00","","","","NY","","",
"26","BEN ELIAS INDUSTRIES","6,567.75","","No collection Info","000102","11/13/2013","NET 30","663369","","Shipped","BN0001","E 29022","Open","101115","  .00%",".00","6,567.75","12/13/2013",".00","Invoice",".00","PB","79","61 to 90"," 30","","AF","11/13","","","","","","W","11/20/2013","","BN0001","","101115","G277","","11/13/13","CALL TO ROUTE","   973","   973","","6,567.75","    .00",".00","","","","NY","","",
"27","BEN ELIAS INDUSTRIES","34,539.75","","No collection Info","000102","11/13/2013","NET 30","663369","","Shipped","BN0001","E 29022-1","Open","101116","  .00%",".00","34,539.75","12/13/2013",".00","Invoice",".00","PB","79","61 to 90"," 30","","AF","11/13","","","","","","W","11/20/2013","","BN0001","","101116","G277","","11/13/13","CALL TO ROUTE","  5117","  5117","","34,539.75","    .00",".00","","","","NY","","",
"28","BEN ELIAS INDUSTRIES","4,569.75","","No collection Info","000102","11/13/2013","NET 30","663369","","Shipped","BN0001","E 29024","Open","101117","  .00%",".00","4,569.75","12/13/2013",".00","Invoice",".00","PB","79","61 to 90"," 30","","AF","11/13","","","","","","W","11/20/2013","","BN0001","","101117","G277","","11/13/13","CALL TO ROUTE","   677","   677","","4,569.75","    .00",".00","","","","NY","","",
"29","BEN ELIAS INDUSTRIES","8,829.00","","No collection Info","000102","11/13/2013","NET 30","663369","","Shipped","BN0001","E 29024-1","Open","101118","  .00%",".00","8,829.00","12/13/2013",".00","Invoice",".00","PB","79","61 to 90"," 30","","AF","11/13","","","","","","W","11/20/2013","","BN0001","","101118","G277","","11/13/13","CALL TO ROUTE","  1308","  1308","","8,829.00","    .00",".00","","","","NY","","",
"30","BEN ELIAS INDUSTRIES","600.75","","No collection Info","000102","11/13/2013","NET 30","663369","","Shipped","BN0001","E 29026-1","Open","101119","  .00%",".00","600.75","12/13/2013",".00","Invoice",".00","PB","79","61 to 90"," 30","","AF","11/13","","","","","","W","11/20/2013","","BN0001","","101119","G277","","11/13/13","CALL TO ROUTE","    89","    89","","600.75","    .00",".00","","","","NY","","",
"31","BEN ELIAS INDUSTRIES","229.50","","No collection Info","000102","11/13/2013","NET 30","663369","","Shipped","BN0001","E 29028","Open","101120","  .00%",".00","229.50","12/13/2013",".00","Invoice",".00","PB","79","61 to 90"," 30","","AF","11/13","","","","","","W","11/20/2013","","BN0001","","101120","G277","","11/13/13","CALL TO ROUTE","    34","    34","","229.50","    .00",".00","","","","NY","","",
"32","BEN ELIAS INDUSTRIES","36,281.25","","No collection Info","000102","11/13/2013","NET 30","663369","","Shipped","BN0001","E 29028-1","Open","101121","  .00%",".00","36,281.25","12/13/2013",".00","Invoice",".00","PB","79","61 to 90"," 30","","AF","11/13","","","","","","W","11/20/2013","","BN0001","","101121","G277","","11/13/13","CALL TO ROUTE","  5375","  5375","","36,281.25","    .00",".00","","","","NY","","",
"33","BEN ELIAS INDUSTRIES","19,448.00","","No collection Info","000110","11/15/2013","NET 30","663371","","Shipped","BN0001","E 29050","Open","101070","  .00%",".00","19,448.00","12/15/2013",".00","Invoice",".00","PB","77","61 to 90"," 30","","AF","11/13","","","","","","W","12/03/2013","","BN0001","","101070","G272","","11/15/13","CALL TO ROUTE","  2992","  2992","154493","19,448.00","    .00",".00","","","","NY","","",
"34","BEN ELIAS INDUSTRIES","12,690.00","","No collection Info","000102","11/20/2013","NET 30","663369","","Shipped","BN0001","E 29020-1","Open","101114","  .00%",".00","12,690.00","12/20/2013",".00","Invoice",".00","PB","72","61 to 90"," 30","","AF","11/13","","","","","","W","11/20/2013","","BN0001","","101114","G277","","11/13/13","CALL TO ROUTE","  1880","  1880","","12,690.00","    .00",".00","","","","NY","","",
"35","BEN ELIAS INDUSTRIES","357.95","","No collection Info","000110","11/21/2013","NET 30","663369","","Shipped","BN0001","E 29026","Open","101122","  .00%","54.20","357.95","12/21/2013",".00","Invoice",".00","PB","71","61 to 90"," 30","","AF","11/13","","","","","","W","12/03/2013","","BN0001","","101122","G286","","11/21/13","VENDOR PORTAL","    45","    45","1Z1VV5130340301","357.95","  54.20",".00","","","","NY","","",
"36","BOSCOVS","210.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101268","  .00%",".00","210.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","000434","","101268","G323","","12/26/13","GREAT CENTRAL T","    60","     5","168746","210.00","    .00",".00","000024","","","PA","00014","00015",
"37","BOSCOVS","210.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101269","  .00%",".00","210.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002530","","101269","G323","","12/26/13","GREAT CENTRAL T","    60","     5","168746","210.00","    .00",".00","000024","","","PA","00003","00015",
"38","BOSCOVS","336.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101270","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002532","","101270","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00005","00015",
"39","BOSCOVS","336.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101271","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002533","","101271","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00006","00015",
"40","BOSCOVS","336.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101272","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002534","","101272","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00007","00015",
"41","BOSCOVS","336.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101273","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002535","","101273","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00008","00015",
"42","BOSCOVS","336.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101274","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002536","","101274","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00009","00015",
"43","BOSCOVS","210.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101275","  .00%",".00","210.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002537","","101275","G323","","12/26/13","GREAT CENTRAL T","    60","     5","168746","210.00","    .00",".00","000024","","","DE","00010","00015",
"44","BOSCOVS","336.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101276","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002539","","101276","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00012","00015",
"45","BOSCOVS","336.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101277","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002541","","101277","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","DE","00016","00015",
"46","BOSCOVS","336.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101278","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002543","","101278","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","NJ","00018","00015",
"47","BOSCOVS","336.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101279","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002544","","101279","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00019","00015",
"48","BOSCOVS","336.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101280","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002545","","101280","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00028","00015",
"49","BOSCOVS","336.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101281","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002547","","101281","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","NJ","00033","00015",
"50","BOSCOVS","336.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101282","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002548","","101282","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","NJ","00041","00015",
"51","BOSCOVS","336.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101283","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002549","","101283","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","MD","00042","00015",
"52","BOSCOVS","210.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101284","  .00%",".00","210.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002550","","101284","G323","","12/26/13","GREAT CENTRAL T","    60","     5","168746","210.00","    .00",".00","000024","","","OH","00043","00015",
"53","BOSCOVS","336.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101285","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002551","","101285","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","MD","00050","00015",
"54","BOSCOVS","336.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101286","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002552","","101286","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00051","00015",
"55","BOSCOVS","336.00","","No collection Info","000123","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101287","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002553","","101287","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00052","00015",
"56","BOSCOVS","336.00","","No collection Info","000124","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101288","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002554","","101288","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","NJ","00053","00015",
"57","BOSCOVS","336.00","","No collection Info","000124","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101289","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002555","","101289","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","NJ","00059","00015",
"58","BOSCOVS","336.00","","No collection Info","000124","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101290","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002556","","101290","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00060","00015",
"59","BOSCOVS","210.00","","No collection Info","000124","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101291","  .00%",".00","210.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002557","","101291","G323","","12/26/13","GREAT CENTRAL T","    60","     5","168746","210.00","    .00",".00","000024","","","PA","00061","00015",
"60","BOSCOVS","336.00","","No collection Info","000124","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101292","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002558","","101292","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00062","00015",
"61","BOSCOVS","336.00","","No collection Info","000124","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101293","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002559","","101293","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00063","00015",
"62","BOSCOVS","336.00","","No collection Info","000124","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101294","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002560","","101294","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","NJ","00064","00015",
"63","BOSCOVS","336.00","","No collection Info","000124","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101295","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002561","","101295","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00065","00015",
"64","BOSCOVS","336.00","","No collection Info","000124","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101296","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002562","","101296","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","NY","00066","00015",
"65","BOSCOVS","210.00","","No collection Info","000124","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101297","  .00%",".00","210.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002563","","101297","G323","","12/26/13","GREAT CENTRAL T","    60","     5","168746","210.00","    .00",".00","000024","","","PA","00067","00015",
"66","BOSCOVS","336.00","","No collection Info","000124","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101298","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002564","","101298","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00068","00015",
"67","BOSCOVS","336.00","","No collection Info","000124","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101299","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002565","","101299","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","PA","00069","00015",
"68","BOSCOVS","336.00","","No collection Info","000124","12/26/2013","NET 30","813035","","Shipped","BS0001","690135","Open","101300","  .00%",".00","336.00","01/26/2014",".00","Invoice",".00","PB","35","31 to 60"," 30","","AF","12/13","","","","","","W","12/26/2013","","002566","","101300","G323","","12/26/13","GREAT CENTRAL T","    96","     8","168746","336.00","    .00",".00","000024","","","NY","00070","00015",
