"Seq","Name","Amount*","Remarks","Collection","Assign. No.","Date","Terms","Approval","Description","TS Status","Account No.","Cust PO","Status","Reference","Disc%","Freight*","Balance*","Due Date","Discount*","Type","Other*","Division","Aging","Past Due Status","Due Days","Charge Back No.","Salesperson","Sales Period","Date Paid","Batch","Cust Ck No.","Cust Ck Date","Cust Ck Amount","Factor","Assign. Date","Reason","Ship-To","Cust ChgBack No.","Trail","Manifest","Rank","Shipped on","Ship Via","Pieces*","Cartons*","Pro Number","TS Amount*","TS Freight*","TS Variance*","EDI Batch No.","Tracking No","TS Comments","State","Store","DC No.", 
"1","A&E STORES","2,520.00","","No collection Info","000120","12/18/2013","NET 30","813291","","Shipped","AE0001","KF931B","Open","101237","  .00%",".00","2,520.00","01/18/2014",".00","Invoice",".00","PB","43","31 to 60"," 30","","EE","12/13","","","","","","W","12/19/2013","","001420","","101237","G318","","12/16/13","ESSENTIAL","   480","    40","167938","2,520.00","    .00",".00","","","","NJ","0","",
"2","A&E STORES","1,842.00","","No collection Info","000120","12/18/2013","NET 30","813293","","Shipped","AE0001","KF932B","Open","101238","  .00%",".00","1,842.00","01/18/2014",".00","Invoice",".00","PB","43","31 to 60"," 30","","EE","12/13","","","","","","W","12/19/2013","","001420","","101238","G318","","12/18/13","ESSENTIAL","   312","    26","167938","1,842.00","    .00",".00","","","","NJ","0","",
"3","A&E STORES","810.00","","No collection Info","000120","12/18/2013","NET 30","813292","","Shipped","AE0001","KF934B","Open","101239","  .00%",".00","810.00","01/18/2014",".00","Invoice",".00","PB","43","31 to 60"," 30","","EE","12/13","","","","","","W","12/19/2013","","001420","","101239","G318","","12/18/13","ESSENTIAL","   120","    10","167938","810.00","    .00",".00","","","","NJ","0","",
"4","A&E STORES","4,320.00","","No collection Info","000120","12/18/2013","NET 30","813290","","Shipped","AE0001","KF935B","Open","101240","  .00%",".00","4,320.00","01/18/2014",".00","Invoice",".00","PB","43","31 to 60"," 30","","EE","12/13","","","","","","W","12/19/2013","","001420","","101240","G318","","12/18/13","ESSENTIAL","  1200","   100","167938","4,320.00","    .00",".00","","","","NJ","0","",
"5","A&E STORES","2,451.00","","No collection Info","000120","12/18/2013","NET 30","813299","","Shipped","AE0001","KF936B","Open","101241","  .00%",".00","2,451.00","01/18/2014",".00","Invoice",".00","PB","43","31 to 60"," 30","","EE","12/13","","","","","","W","12/19/2013","","001420","","101241","G318","","12/18/13","ESSENTIAL","   516","    53","167938","2,451.00","    .00",".00","","","","NJ","0","",
"6","A&E STORES","720.00","","No collection Info","000145","01/31/2014","NET 30","899053","","Shipped","AE0001","KF973B","Open","101484","  .00%",".00","720.00","03/02/2014",".00","Invoice",".00","PB","0","Current"," 30","","EE","01/14","","","","","","W","02/03/2014","","001420","","101484","G360","","01/31/14","CALL TO ROUTE","   144","    12","179370","720.00","    .00",".00","","","","NJ","0","",
"7","A&E STORES","693.00","","No collection Info","000145","01/31/2014","NET 30","899052","","Shipped","AE0001","KF974B","Open","101485","  .00%",".00","693.00","03/02/2014",".00","Invoice",".00","PB","0","Current"," 30","","EE","01/14","","","","","","W","02/03/2014","","001420","","101485","G360","","01/31/14","CALL TO ROUTE","   132","    11","179370","693.00","    .00",".00","","","","NJ","0","",
"8","A&E STORES","567.00","","No collection Info","000145","01/31/2014","NET 30","899051","","Shipped","AE0001","KF975B","Open","101486","  .00%",".00","567.00","03/02/2014",".00","Invoice",".00","PB","0","Current"," 30","","EE","01/14","","","","","","W","02/03/2014","","001420","","101486","G360","","01/31/14","CALL TO ROUTE","   108","     9","179370","567.00","    .00",".00","","","","NJ","0","",
"9","A&E STORES","540.00","","No collection Info","000145","01/31/2014","NET 30","899054","","Shipped","AE0001","KF976B","Open","101487","  .00%",".00","540.00","03/02/2014",".00","Invoice",".00","PB","0","Current"," 30","","EE","01/14","","","","","","W","02/03/2014","","001420","","101487","G360","","01/31/14","CALL TO ROUTE","   108","     9","179370","540.00","    .00",".00","","","","NJ","0","",
"10","AVE. J STORES","597.18","","No collection Info","000080","10/25/2013","NET 60","589492","","Shipped","AJ0001","101513","Open","100915","  .00%","90.18","597.18","12/24/2013",".00","Invoice",".00","PB","68","61 to 90"," 60","","EE","10/13","","","","","","W","11/04/2013","","AJ0001","","100915","G214","","10/25/13","FEDEX GROUND","    72","     6","","597.18","  90.18",".00","","557841385930","","NY","","",
"11","ALCO STORES","51,192.00","","No collection Info","000101","11/14/2013","NET 60","509157","","Shipped","AL0001","804050","Open","101060","  .00%",".00","51,192.00","01/14/2014",".00","Invoice",".00","PB","47","31 to 60"," 60","","AF","11/13","","","","","","W","11/19/2013","","001688","","101060","G271","","11/14/13","UPS COLLECT","  5688","   948","153895","51,192.00","    .00",".00","","","","","","",
"12","AMAZON.COM","10,535.00","","No collection Info","","08/09/2013","NET 60","NONE","","Shipped","AZ0001","Z9940408","Open","100093","  .00%",".00","10,535.00","10/08/2013",".00","Invoice",".00","PB","145","121 to 150"," 60","","EE","08/13","","","","","","W","","","000020","","100093","G38","","08/09/13","VENDOR PORTAL","   770","    71","127228","10,535.00","    .00",".00","","","","KY","CVG1","0",
"13","AMAZON.COM","8,610.00","","No collection Info","","10/30/2013","","356298","","Shipped","AZ0001","V2715346","Open","100791","  .00%",".00","8,610.00","12/29/2013",".00","Invoice",".00","PB","63","61 to 90"," 60","","EE","10/13","","","","","","W","","","AZOHFC","","100791","D237","","10/30/13","VENDOR PORTAL","   540","    45","150879","8,610.00","    .00",".00","","","","KY","CVG1","0",
"14","AMAZON.COM","20,088.00","","No collection Info","","11/04/2013","","","","Shipped","AZ0001","V4908364","Open","101004","  .00%",".00","20,088.00","01/04/2014",".00","Invoice",".00","PB","57","31 to 60"," 60","","EE","10/13","","","","","","W","","","000020","","101004","G243","","11/01/13","VENDOR PORTAL","  1188","   135","152803","20,088.00","    .00",".00","","","","KY","CVG1","0",
"15","AMAZON.COM","10,980.00","","No collection Info","000130","01/02/2014","NET 60","593374","","Shipped","AZ0001","X0477824","Open","101353","  .00%",".00","10,980.00","03/03/2014",".00","Invoice",".00","PB","","Current"," 60","","EE","12/13","","","","","","W","01/06/2014","","AMZBLK","","101353","G333","","01/02/14","VENDOR PORTAL","  1464","   122","170656","10,980.00","    .00",".00","","","","KY","CVG1","0",
"16","AMAZON.COM","6,857.28","","No collection Info","000130","01/02/2014","NET 60","820764","","Shipped","AZ0001","X3333154","Open","101354","  .00%",".00","6,857.28","03/03/2014",".00","Invoice",".00","PB","","Current"," 60","","EE","12/13","","","","","","W","01/06/2014","","AMZBLK","","101354","G333","","01/02/14","VENDOR PORTAL","   972","    81","170656","6,857.28","    .00",".00","","","","KY","CVG1","CVG1",
"17","AMAZON.COM","11,054.40","","No collection Info","000130","01/02/2014","NET 60","825141","","Shipped","AZ0001","Z0008780","Open","101355","  .00%",".00","11,054.40","03/03/2014",".00","Invoice",".00","PB","","Current"," 60","","EE","12/13","","","","","","W","01/06/2014","","AMZBLK","","101355","G333","","01/02/14","VENDOR PORTAL","  1032","    86","170656","11,054.40","    .00",".00","","","","KY","CVG1","0",
"18","BIG AL'S DEPARTMENT","127.80","","No collection Info","000178","02/20/2014","1% 10 EOM + 30","781638","","Shipped","BB0001","608727","Open","101489"," 1.00%",".00","127.80","03/10/2014","1.28","Invoice",".00","PB","","Current","  0","","EE","01/14","","","","","","W","02/24/2014","","BB0001","","101489","G395","","02/20/14","WRAGTIME","    24","     2","02-1168865","127.80","    .00",".00","","","","NY","001","05",
"19","BAMBI DE HUMACAO INC","676.80","","No collection Info","000143","01/29/2014","NET 30","530465","","Shipped","BD0001","5105","Open","101406","  .00%","120.00","676.80","02/28/2014",".00","Invoice",".00","PB","2","1 to 30"," 30","","BB","01/14","","","","","","W","01/30/2014","","BD0001","","101406","G358","","01/29/14","CALL TO ROUTE","    96","     8","173608","676.80"," 120.00",".00","","","","PR","","",
"20","BERGEN KIDS LLC #32","131.58","","No collection Info","000116","12/09/2013","NET 10 EOM + 30","783667","","Shipped","BE0001","16879","Open","101174","  .00%","47.58","131.58","01/30/2014",".00","Invoice",".00","PB","31","31 to 60"," 20","","EE","12/13","","","","","","W","12/17/2013","","BE0001","","101174","G303","","12/09/13","CALL TO ROUTE","    24","     2","MULTI","131.58","  47.58",".00","","","","NJ","","",
"21","BIG LOTS STORES INC","6,208.32","","No collection Info","000059","10/03/2013","NET 60","214462","","Shipped","BI0001","83365258","Open","100220","  .00%",".00","6,208.32","12/02/2013",".00","Invoice",".00","PB","90","91 to 120"," 60","","JB","08/13","","","","","","W","10/09/2013","","001690","","100220","G99","","10/03/13","CALL TO ROUTE","  2784","   232","135418","6,208.32","    .00",".00","","","","AL","00870","870",
