"Invoice No.","Invoice Date","Seq","Status","Bill-to","Bill-to Name","Ship-to","Ship-To Name","Order Type","Order No.","Order Date","Pieces*","Cartons*","Amount*`","Delivery Date","Cancel Date","Ship Via","Cxl/Void Date","Consolidator","Approval No.","Sales Order","Factor","Div/Dept/Class","Salesperson","Reference","Shipped Date","Store No","Must Arrive Date","Rank", 
"100742","10/04/2013","23","Billed","DA0001","DATOS DEL IMPORADOR","DA0001","DATOS DEL IMPORADOR","Original Order","DATOS","04/30/2013","2976","248","22831.20","10/15/2013","10/20/2013","CALL TO ROUTE","","","WIRE","000272","","PB-GN-8PS","EE","RGG008","","","","",
"100614","09/25/2013","24","Billed","PE0001","PEANUT BUTTONS","PE0001","PEANUT BUTTONS","Original Order","AMAZONBULK","07/31/2013","2824","248","38597.00","09/20/2013","12/30/2013","CALL TO ROUTE","08/27/2013","","NONE","000274","","PB-GN-3BS","EE","RGG255","","","","",
"100750","10/08/2013","25","Billed","JS0002","J AND S KIDSWEAR","JS0002","J AND S  KIDSWEAR #","Original Order","110740","06/17/2013","       36","        3","       540.00","08/25/2013","09/25/2013","","","","512330","000303","W","PB-GI-3VS","EE","RGG010","","","","",
"100909","10/16/2013","26","Billed","US0001","US MARINE CORPS","001405","US MARINE CORPS","Original Order","1123","06/06/2013","18","3","129.60","10/02/2013","11/04/2013","FEDEX GROUND","","","503636","000408","W","PB-BI-2PS","AF","RGG019","","","","",
"100835","10/14/2013","27","Billed","US0001","US MARINE CORPS","001405","US MARINE CORPS","Original Order","1255","05/02/2013","72","6","552.00","10/02/2013","11/04/2013","CALL TO ROUTE","","","390731","000415","W","PB-GT-3VS","AF","RGG017","","","","",
"101060","11/01/2013","28","Billed","AL0001","ALCO STORES","001688","ALCO STORES","Original Order","804050","07/31/2013","5688","948","51192.00","10/25/2013","11/08/2013","UPS COLLECT","","","509157","000422","W","PB-G4-DRW","AF","RGG050","","","","",
"101067","11/04/2013","29","Billed","GO0001","GONZALEZ ASSOCIATES","GO0001","GONZALEZ ASSOCIATES","Original Order","SAL-3813","08/28/2013","456","76","5040.00","09/20/2013","10/10/2013","CALL TO ROUTE","09/04/2013","","569755","000449","W","PB-GI-DRW","EE","RGG053","","","","",
"101066","11/04/2013","30","Billed","GO0001","GONZALEZ ASSOCIATES","GO0001","GONZALEZ ASSOCIATES","Original Order","NIC-3815","08/28/2013","216","36","2376.00","09/20/2013","10/10/2013","CALL TO ROUTE","","","569755","000450","W","PB-GI-DRW","EE","RGG053","","","","",
"101065","11/04/2013","31","Billed","GO0001","GONZALEZ ASSOCIATES","GO0001","GONZALEZ ASSOCIATES","Original Order","GUA-3814","08/28/2013","312","52","3420.00","09/20/2013","10/10/2013","CALL TO ROUTE","09/04/2013","","569755","000451","W","PB-GI-DRW","EE","RGG053","","","","",
"101064","11/04/2013","32","Billed","GO0001","GONZALEZ ASSOCIATES","GO0001","GONZALEZ ASSOCIATES","Original Order","COS-3816","08/28/2013","108","18","1188.00","09/20/2013","10/10/2013","CALL TO ROUTE","","","569755","000452","W","PB-GI-DRW","EE","RGG053","","","","",
"101003","10/25/2013","33","Billed","GO0001","GONZALEZ ASSOCIATES","GO0001","GONZALEZ ASSOCIATES","Original Order","SAL-3821","08/28/2013","185","13","1850.00","08/28/2013","09/20/2013","CALL TO ROUTE","09/04/2013","","549149 MT","000453","W","PB-G7-DRD","EE","RSS008","","","","",
"101001","10/25/2013","34","Billed","GO0001","GONZALEZ ASSOCIATES","GO0001","GONZALEZ ASSOCIATES","Original Order","GUA-3822","08/28/2013","106","7","1060.00","08/28/2013","09/20/2013","CALL TO ROUTE","","","549149 MT","000454","W","PB-G7-DRD","EE","RSS008","","","","",
"101002","10/25/2013","35","Billed","GO0001","GONZALEZ ASSOCIATES","GO0001","GONZALEZ ASSOCIATES","Original Order","NIC-3823","08/28/2013","74","6","740.00","08/28/2013","09/20/2013","CALL TO ROUTE","","","569755","000455","W","PB-G7-DRD","EE","RSS008","","","","",
"101000","10/25/2013","36","Billed","GO0001","GONZALEZ ASSOCIATES","GO0001","GONZALEZ ASSOCIATES","Original Order","COS-3824","08/28/2013","36","3","360.00","08/28/2013","09/20/2013","CALL TO ROUTE","","","549149 MT","000456","W","PB-G7-DRD","EE","RSS008","","","","",
"100987","10/25/2013","37","Billed","EL0000","ELBERT DEPT STORE","EL0000","ELBERT DEPT STORE","Original Order","03132013","03/13/2013","12","2","231.00","07/25/2013","10/30/2013","FEDEX GROUND","","","391359","000519","W","PB-G4-3PS","JC","RGG036","","","","",
"100921","10/18/2013","38","Billed","MC0001","MODECRAFT","000691","MODECRAFT FASHIONS","Original Order","345902804","09/18/2013","      900","       75","     3,150.00","10/30/2013","11/08/2013","CALL TO ROUTE","","","358206","000599","W","PB-BN-3BS","AF","RGG021","","","","",
"100923","10/18/2013","39","Billed","MC0001","MODECRAFT","000691","MODECRAFT FASHIONS","Original Order","345902806","09/18/2013","      900","       75","     3,150.00","10/30/2013","11/08/2013","CALL TO ROUTE","","","506838","000603","W","PB-GN-3BS","AF","RGG021","","","","",
"100922","10/18/2013","40","Billed","MC0001","MODECRAFT","000691","MODECRAFT FASHIONS","Original Order","345902805","09/18/2013","     1200","      100","     4,200.00","10/30/2013","11/08/2013","CALL TO ROUTE","","","506836","000606","W","PB-GN-3BS","AF","RGG021","","","","",
"100929","10/18/2013","41","Billed","MC0001","MODECRAFT","000691","MODECRAFT FASHIONS","Original Order","345902812","09/18/2013","      492","       41","     1,722.00","10/30/2013","11/08/2013","CALL TO ROUTE","","","506834","000608","W","PB-GN-3BS","AF","RGG021","","","","",
"100920","10/18/2013","42","Billed","MC0001","MODECRAFT","000691","MODECRAFT FASHIONS","Original Order","345902803","09/18/2013","      900","       75","     3,150.00","10/30/2013","11/08/2013","CALL TO ROUTE","","","506839","000609","W","PB-BN-3BS","AF","RGG021","","","","",
"100924","10/18/2013","43","Billed","MC0001","MODECRAFT","000691","MODECRAFT FASHIONS","Original Order","345902807","09/18/2013","      900","       75","     3,150.00","10/30/2013","11/08/2013","CALL TO ROUTE","","","506833","000610","W","PB-GN-3BS","AF","RGG021","","","","",
"100694","10/01/2013","44","Billed","TI0001","TESORO INFANTIL","TI0001","TESORO INFANTIL","Original Order","91813","09/18/2013","68","6","475.00","09/19/2013","10/01/2013","FEDEX GROUND","","","CC","000791","","PB-BN-000","EE","RGG301","","","","",
"100790","10/14/2013","45","Billed","AZ0001","AMAZON.COM","AMZBLK","AMAZON.COM","Original Order","V8439894","09/24/2013","1536","128","26424.00","10/25/2013","11/04/2013","VENDOR PORTAL","","","508981","000879","W","PB-BT-3PS","EE","RGG017","","","","",
"100747","10/07/2013","46","Billed","JK0001","JONATHAN K APPAREL C","JK0001","JONATHAN K APPAREL C","Original Order","5944-7942-19","09/30/2013","216","32","1143.60","10/07/2013","10/10/2013","CALL TO ROUTE","","","NONE","000932","","PB-GI-000","EE","RGG009","","","","",
"100965","10/22/2013","47","Billed","PE0001","PEANUT BUTTONS","AM0001","AMAZON.CO.UK","Original Order","1030","10/07/2013","2064","176","11029.44","10/20/2013","10/30/2013","VENDOR PORTAL","","","NONE","000933","","PB-GN-3BS","EE","RGG029","","","","",
"101061","11/01/2013","48","Billed","HO0001","HOUSE OF ANGELS","HO0001","HOUSE OF ANGELS","Original Order","10813","10/08/2013","116","13","922.00","10/14/2013","10/20/2013","UCL","","","589505","000957","W","PB-BI-000","EE","RGG051","","","","",
