textbox67,Description,CreationDate,WarehouseTransactionID,ReferenceNum,PONum,Carrier,Company,EarliestShipDate,ShipCancelDate,textbox32,Notes
Warehouse: Warehouse 6,JDE Associates,11/1/2013,153885,101050,F0Y5MJ,YRC,"DOLLAR GENERAL,LLC",11/10/2013,11/10/2013,11/11/2013 00:00,READY TO SHIP
Warehouse: Warehouse 6,JDE Associates,11/1/2013,153886,101051,F0Y5MK,YRC,"DOLLAR GENERAL,LLC.",11/10/2013,11/10/2013,11/11/2013 00:00,READY TO SHIP
Warehouse: Warehouse 6,JDE Associates,11/1/2013,153887,101052,F0Y5MM,YRC,"DOLLAR GENERAL,LLC.",11/10/2013,11/10/2013,11/11/2013 00:00,READY TO SHIP
Warehouse: Warehouse 6,JDE Associates,11/1/2013,153888,101053,F0Y5MN,YRC,"DOLLAR GENERAL,LLC.",11/10/2013,11/10/2013,11/11/2013 00:00,READY TO SHIP
Warehouse: Warehouse 6,JDE Associates,11/1/2013,153889,101054,F0Y5MP,UNIVERSAL LOGISTICS,"DOLLAR GENERAL,LLC.",11/10/2013,11/10/2013,11/11/2013 00:00,READY TO SHIP
Warehouse: Warehouse 6,JDE Associates,11/1/2013,153890,101055,F0Y5MQ,ESTES,"DOLLAR GENERAL,LLC.",11/10/2013,11/10/2013,11/11/2013 00:00,READY TO SHIP
Warehouse: Warehouse 6,JDE Associates,11/1/2013,153891,101056,F0Y5MR,ESTES,"DOLLAR GENERAL,LLC.",11/10/2013,11/10/2013,11/11/2013 00:00,READY TO SHIP
Warehouse: Warehouse 6,JDE Associates,11/1/2013,153892,101057,F0Y5MT,ESTES,"DOLLAR GENERAL,LLC.",11/10/2013,11/10/2013,11/1/2013 00:00,READY TO SHIP
Warehouse: Warehouse 6,JDE Associates,11/1/2013,153893,101058,F0Y5MV,YRC,"DOLLAR GENERAL,LLC.",11/10/2013,11/10/2013,11/11/2013 00:00,READY TO SHIP
Warehouse: Warehouse 6,JDE Associates,11/1/2013,153894,101059,F0Y5MW,CENTRAL TRANSPORT,"DOLLAR GENERAL, LLC.",11/10/2013,11/10/2013,11/8/2013 00:00,READY TO SHIP
Warehouse: Warehouse 6,JDE Associates,11/8/2013,156449,101063,6251619,,NORDSTROM C/O CTE,11/13/2013,11/19/2013, 00:00,
Warehouse: Warehouse 6,JDE Associates,11/4/2013,154256,100959,BABYTOGS-3798817,CALL TO ROUTE,"BLOOMINGDALES, INC.",12/2/2013,12/6/2013, 00:00,

