"Seq","Invoice No.","Invoice Date","Status","Bill-to","Bill-to Name","Ship-to","Ship-To Name","Order Type","Order No.","Order Date","Pieces*","Cartons*","Amount*`","Delivery Date","Cancel Date","Ship Via","Sales Order","Approval No.","Cxl/Void Date","Consolidator","Factor","Pick Ticket No.","Div/Dept/Class","Salesperson","Reference","Shipped Date","Store No","Must Arrive Date", 
"97","102172","03/04/2014","Billed","ZU0001","ZULILY","001416","ZULILY","Distro (from Bulk)","73626-P0000KF2CS-6 1","03/04/2014","348","29","1995.00","03/03/2014","03/03/2014","UPSN-CALL TO ROUTE","002518","973456","","","W","","PB-GI-ROM","EE","RGG198","","","",
"98","102208","03/11/2014","Billed","KD0004","KIDS KINGDOM","KD0004","KIDS KINGDOM","Original Order","030414","03/04/2014","72","6","588.00","03/05/2014","03/20/2014","FED EX","002524","","","","","","PB-B4-3SS","GC","RGG215","","","",
"99","102301","03/12/2014","Billed","TO0002","TOMLINSONS","TO0002","TOMLINSONS","Original Order","L228F","03/04/2014","180","15","1107.00","03/04/2014","03/15/2014","QUOTE UCL","002525","069911","","","W","","PB-B4-2SS","EE","RGG226","","","",
"100","102302","03/12/2014","Billed","TO0002","TOMLINSONS","TO0002","TOMLINSONS","Original Order","L228G","03/04/2014","172","24","1150.00","03/04/2014","03/15/2014","QUOTE UCL","002526","069913","","","W","","PB-G7-DRK","EE","RGG226","","","",
"101","102217","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000370","BLOOMINGDALES.COM","EDI Order","6712973","02/24/2014","56","7","1884.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002533","824802","","","W","","PB-G7-DRW","AF","RGG219","","","",
"102","102219","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000371","BLOOMINGDALES.COM","EDI Order","6712973","02/24/2014","16","2","540.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002534","824802","","","W","","PB-G7-DRW","AF","RGG219","","","",
"103","102221","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000372","BLOOMINGDALES.COM","EDI Order","6712973","02/24/2014","32","4","1080.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002535","824802","","","W","","PB-G7-DRW","AF","RGG219","","","",
"104","102223","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000373","BLOOMINGDALES.COM","EDI Order","6712973","02/24/2014","        8","        1","       276.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002536","824802","","","W","","PB-G7-DRW","AF","RGG219","","","",
"105","102225","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000374","BLOOMINGDALES.COM","EDI Order","6712973","02/24/2014","16","2","540.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002537","824802","","","W","","PB-G7-DRW","AF","RGG219","","","",
"106","102227","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000377","BLOOMINGDALES.COM","EDI Order","6712973","02/24/2014","24","3","804.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002538","824802","","","W","","PB-G7-DRW","AF","RGG219","","","",
"107","102229","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000383","BLOOMINGDALES.COM","EDI Order","6712973","02/24/2014","16","2","540.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002539","824802","","","W","","PB-G7-DRW","AF","RGG219","","","",
"108","102231","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000384","BLOOMINGDALES.COM","EDI Order","6712973","02/24/2014","16","2","540.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002540","824802","","","W","","PB-G7-DRW","AF","RGG219","","","",
"109","102233","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000385","BLOOMINGDALES.COM","EDI Order","6712973","02/24/2014","16","2","540.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002541","824802","","","W","","PB-G7-DRW","AF","RGG219","","","",
"110","102235","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000386","BLOOMINGDALES.COM","EDI Order","6712973","02/24/2014","        8","        1","       276.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002542","824802","","","W","","PB-G7-DRW","AF","RGG219","","","",
"111","102237","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000388","BLOOMINGDALES.COM","EDI Order","6712973","02/24/2014","        8","        1","       276.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002543","824802","","","W","","PB-G7-DRW","AF","RGG219","","","",
"112","102239","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000389","BLOOMINGDALES.COM","EDI Order","6712973","02/24/2014","       16","        2","       552.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002544","824802","","","W","","PB-G7-DRW","AF","RGG219","","","",
"113","102241","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000393","BLOOMINGDALES.COM","EDI Order","6712973","02/24/2014","16","2","540.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002545","824802","","","W","","PB-G7-DRW","AF","RGG219","","","",
"114","102243","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000394","BLOOMINGDALES.COM","EDI Order","6712973","02/24/2014","24","3","804.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002546","824802","","","W","","PB-G7-DRW","AF","RGG219","","","",
"115","102245","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000404","BLOOMINGDALES.COM","EDI Order","6712973","02/24/2014","24","3","804.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002547","824802","","","W","","PB-G7-DRW","AF","RGG219","","","",
"116","102247","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000408","BLOOMINGDALES.COM","EDI Order","6712973","02/24/2014","16","2","540.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002548","824802","","","W","","PB-G7-DRW","AF","RGG219","","","",
"117","102216","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000370","BLOOMINGDALES.COM","EDI Order","3544698","02/24/2014","       24","        4","       756.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002549","824802","","","W","","PB-G4-DRW","AF","RGG219","","","",
"118","102218","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000371","BLOOMINGDALES.COM","EDI Order","3544698","02/24/2014","        6","        1","       189.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002550","824802","","","W","","PB-G4-DRW","AF","RGG219","","","",
"119","102220","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000372","BLOOMINGDALES.COM","EDI Order","3544698","02/24/2014","       12","        2","       378.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002551","824802","","","W","","PB-G4-DRW","AF","RGG219","","","",
"120","102222","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000373","BLOOMINGDALES.COM","EDI Order","3544698","02/24/2014","        6","        1","       189.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002552","824802","","","W","","PB-G4-DRW","AF","RGG219","","","",
"121","102224","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000374","BLOOMINGDALES.COM","EDI Order","3544698","02/24/2014","        6","        1","       189.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002553","824802","","","W","","PB-G4-DRW","AF","RGG219","","","",
"122","102226","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000377","BLOOMINGDALES.COM","EDI Order","3544698","02/24/2014","        6","        1","       189.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002554","824802","","","W","","PB-G4-DRW","AF","RGG219","","","",
"123","102228","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000383","BLOOMINGDALES.COM","EDI Order","3544698","02/24/2014","        6","        1","       189.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002555","824802","","","W","","PB-G4-DRW","AF","RGG219","","","",
"124","102230","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000384","BLOOMINGDALES.COM","EDI Order","3544698","02/24/2014","        6","        1","       189.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002556","824802","","","W","","PB-G4-DRW","AF","RGG219","","","",
"125","102232","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000385","BLOOMINGDALES.COM","EDI Order","3544698","02/24/2014","        6","        1","       189.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002557","824802","","","W","","PB-G4-DRW","AF","RGG219","","","",
"126","102234","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000386","BLOOMINGDALES.COM","EDI Order","3544698","02/24/2014","        6","        1","       189.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002558","824802","","","W","","PB-G4-DRW","AF","RGG219","","","",
"127","102236","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000388","BLOOMINGDALES.COM","EDI Order","3544698","02/24/2014","        6","        1","       189.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002559","824802","","","W","","PB-G4-DRW","AF","RGG219","","","",
"128","102238","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000389","BLOOMINGDALES.COM","EDI Order","3544698","02/24/2014","        6","        1","       189.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002560","824802","","","W","","PB-G4-DRW","AF","RGG219","","","",
"129","102240","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000393","BLOOMINGDALES.COM","EDI Order","3544698","02/24/2014","       12","        2","       378.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002561","824802","","","W","","PB-G4-DRW","AF","RGG219","","","",
"130","102242","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000394","BLOOMINGDALES.COM","EDI Order","3544698","02/24/2014","        6","        1","       189.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002562","824802","","","W","","PB-G4-DRW","AF","RGG219","","","",
"131","102244","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000404","BLOOMINGDALES.COM","EDI Order","3544698","02/24/2014","        6","        1","       189.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002563","824802","","","W","","PB-G4-DRW","AF","RGG219","","","",
"132","102246","03/12/2014","Billed","BL0002","BLOOMINGDALES INC","000408","BLOOMINGDALES.COM","EDI Order","3544698","02/24/2014","        6","        1","       189.00","03/03/2014","03/07/2014"," VENDOR PORTAL","002564","824802","","","W","","PB-G4-DRW","AF","RGG219","","","",
"133","102192","03/06/2014","Billed","PE0001","REVOLUTIONS BOUTIQUE","AM0002","AMAZON.COM","Distro (from Bulk)","3314","03/05/2014","3204","310","33252.00","03/04/2014","04/04/2014","CALL TO ROUTE","002566","","","","","","PB-GN-ROM","JS","RGG208","","","",
"134","102212","03/11/2014","Billed","UA0001","ULTIMATE APPAREL","UA0002","PIXIOR","Original Order","3714A","03/06/2014","192","16","768.00","03/07/2014","03/15/2014","CALL TO ROUTE","002573","058105","","","W","","PB-GN-2PS","AF","RGG218","","","",
"135","102213","03/11/2014","Billed","UA0001","ULTIMATE APPAREL","UA0002","PIXIOR","Original Order","3714B","03/06/2014","192","16","672.00","03/07/2014","03/15/2014","CALL TO ROUTE","002574","058104","","","W","","PB-GN-3BS","AF","RGG218","","","",
"136","102214","03/11/2014","Billed","UA0001","ULTIMATE APPAREL","UA0002","PIXIOR","Original Order","3714C","03/06/2014","36","3","180.00","03/07/2014","03/15/2014","CALL TO ROUTE","002575","058106","","","W","","PB-BI-2PS","AF","RGG218","","","",
"137","102215","03/11/2014","Billed","UA0001","ULTIMATE APPAREL","UA0002","PIXIOR","Original Order","3714D","03/06/2014","36","3","180.00","03/07/2014","03/15/2014","CALL TO ROUTE","002576","058107","","","W","","PB-BT-2PS","AF","RGG218","","","",
"138","102203","03/10/2014","Billed","ZU0001","ZULILY","001416","ZULILY","Distro (from Bulk)","77410-P00000LRHU0-6-","03/10/2014","156","13","702.00","03/11/2014","03/13/2014","UPSN-UNITED PAR","002586","049661","","","W","","PB-GN-ROM","EE","RGG211","","","",
"139","102204","03/10/2014","Billed","CLM001","CUTELITTLEMONSTER.CO","CML000","CUTELITTLEMONSTER.CO","Original Order","1061","02/05/2014","36","3","422.40","03/10/2014","03/13/2014","FED-EX","002157","NONE","03/06/2014","","","","PB-BT-2PS","EY","RGG212","","","",
"140","102206","03/11/2014","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20029925","03/10/2014","96","16","720.00","03/15/2014","03/21/2014","VENDOR PORTAL","002589","983700","","","W","","PB-GT-2LS","AF","RGG214","","","",
"141","102207","03/11/2014","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20029926","03/10/2014","96","16","768.00","03/15/2014","03/21/2014","VENDOR PORTAL","002590","983715","","","W","","PB-G4-2LS","AF","RGG214","","","",
"142","102253","03/12/2014","Billed","MA0001","THE MARMAXX GROUP","MA0881","MARSHALLS (MAR LAS V","Distro (from Bulk)","01 158244","03/11/2014","1236","103","7663.20","03/07/2014","03/17/2014","CALL TO ROUTE","002591","068137","","","W","","PB-G7-DRW","AF","RGG223","","","",
"143","102255","03/12/2014","Billed","MA0001","THE MARMAXX GROUP","MA0887","MARSHALLS (ATLANTA)","Distro (from Bulk)","07 158270","03/11/2014","480","80","3120.00","03/07/2014","03/17/2014","CALL TO ROUTE","002592","068137","","","W","","PB-G4-2LS","AF","RGG223","","","",
"144","102251","03/12/2014","Billed","TJ0001","TJ MAXX","TJ0899","TJ MAXX","Distro (from Bulk)","30 158276","03/11/2014","3576","298","22171.20","03/07/2014","03/17/2014","CALL TO ROUTE","002593","X068137","","","W","","PB-G7-DRW","AF","RGG222","","","",
"145","102252","03/12/2014","Billed","TJ0001","TJ MAXX","TJ0899","TJ MAXX","Distro (from Bulk)","30 158287","03/11/2014","480","80","3120.00","03/07/2014","03/17/2014","CALL TO ROUTE","002594","068137","","","W","","PB-G4-2LS","AF","RGG222","","","",
"146","102257","03/12/2014","Billed","FI0001","FIESTA MART","FI0001","FIESTA #2","Original Order","20310140","03/11/2014","24","4","171.00","03/11/2014","03/20/2014","call to route","002595","068728","","","W","","PB-GI-DRS","EE","RGG225","","","",
"147","102260","03/12/2014","Billed","FI0001","FIESTA MART","FI0002","FIESTA #3","Original Order","20310140","03/11/2014","60","9","435.00","03/11/2014","03/20/2014","CALL TO ROUTE","002596","068728","","","W","","PB-GI-DRE","EE","RGG225","","","",
"148","102263","03/12/2014","Billed","FI0001","FIESTA MART","FI0003","FIESTA #4","Original Order","20310140","03/11/2014","60","9","435.00","03/11/2014","03/20/2014","CALL TO ROUTE","002597","068728","","","W","","PB-GI-DRE","EE","RGG225","","","",
"149","102266","03/12/2014","Billed","FI0001","FIESTA MART","FI0004","FIESTA #5","Original Order","20310140","03/11/2014","78","11","559.50","03/11/2014","03/20/2014","CALL TO ROUTE","002598","068728","","","W","","PB-GN-DRE","EE","RGG225","","","",
"150","102269","03/12/2014","Billed","FI0001","FIESTA MART","FI0005","FIESTA #7","Original Order","20310140","03/11/2014","132","19","945.00","03/11/2014","03/20/2014","CALL TO ROUTE","002599","068728","","","W","","PB-GN-DRE","EE","RGG225","","","",
"151","102272","03/12/2014","Billed","FI0001","FIESTA MART","FI0006","FIESTA #8","Original Order","20310140","03/11/2014","72","10","516.00","03/11/2014","03/20/2014","CALL TO ROUTE","002600","068728","","","W","","PB-GN-DRE","EE","RGG225","","","",
"152","102275","03/12/2014","Billed","FI0001","FIESTA MART","FI0007","FIESTA #9","Original Order","20310140","03/11/2014","60","8","432.00","03/11/2014","03/20/2014","CALL TO ROUTE","002601","068728","","","W","","PB-GI-DRE","EE","RGG225","","","",
"153","102278","03/12/2014","Billed","FI0001","FIESTA MART","FI0008","FIESTA #10","Original Order","20310140","03/11/2014","48","7","348.00","03/11/2014","03/20/2014","CALL TO ROUTE","002602","068728","","","W","","PB-GT-DRE","EE","RGG225","","","",
"154","102281","03/12/2014","Billed","FI0001","FIESTA MART","FI0009","FIESTA #11","Original Order","20310140","03/11/2014","78","11","553.50","03/11/2014","03/20/2014","CALL TO ROUTE","002603"," 068728","","","W","","PB-GN-DRE","EE","RGG225","","","",
"155","102284","03/12/2014","Billed","FI0001","FIESTA MART","FI0010","FIESTA#22","Original Order","20310140","03/11/2014","78","10","556.50","03/11/2014","03/20/2014","CALL TO ROUTE","002604","068728","","","W","","PB-GN-DRE","EE","RGG225","","","",
"156","102287","03/12/2014","Billed","FI0001","FIESTA MART","FI0011","FIESTA #23","Original Order","20310140","03/11/2014","24","4","171.00","03/11/2014","03/20/2014","CALL TO ROUTE","002605","068728","","","W","","PB-GI-DRS","EE","RGG225","","","",
"157","102290","03/12/2014","Billed","FI0001","FIESTA MART","FI0012","FIESTA #37","Original Order","20310140","03/11/2014","48","7","348.00","03/11/2014","03/20/2014","CALL TO ROUTE","002606","068728","","","W","","PB-GT-DRE","EE","RGG225","","","",
"158","102259","03/12/2014","Billed","FI0001","FIESTA MART","FI0001","FIESTA #2","Original Order","20310142","03/11/2014","24","2","150.00","03/11/2014","03/20/2014","CALL TO ROUTE","002607","068728","","","W","","PB-BI-3SS","EE","RGG225","","","",
"159","102262","03/12/2014","Billed","FI0001","FIESTA MART","FI0002","FIESTA #3","Original Order","20310142","03/11/2014","24","2","150.00","03/11/2014","03/20/2014","CALL TO ROUTE","002608","068728","","","W","","PB-BI-3SS","EE","RGG225","","","",
"160","102265","03/12/2014","Billed","FI0001","FIESTA MART","FI0003","FIESTA #4","Original Order","20310142","03/11/2014","48","4","324.00","03/11/2014","03/20/2014","CALL TO ROUTE","002609","068728","","","W","","PB-BI-3SS","EE","RGG225","","","",
"161","102271","03/12/2014","Billed","FI0001","FIESTA MART","FI0005","FIESTA #7","Original Order","20310142","03/11/2014","120","10","774.00","03/11/2014","03/20/2014","CALL TO ROUTE","002610","068728","","","W","","PB-BI-3SS","EE","RGG225","","","",
"162","102268","03/12/2014","Billed","FI0001","FIESTA MART","FI0004","FIESTA #5","Original Order","20310142","03/11/2014","72","6","450.00","03/11/2014","03/20/2014","CALL TO ROUTE","002611","068728","","","W","","PB-BI-3SS","EE","RGG225","","","",
"163","102274","03/12/2014","Billed","FI0001","FIESTA MART","FI0006","FIESTA #8","Original Order","20310142","03/11/2014","48","4","300.00","03/11/2014","03/20/2014","CALL TO ROUTE","002612","068728","","","W","","PB-BI-3SS","EE","RGG225","","","",
"164","102277","03/12/2014","Billed","FI0001","FIESTA MART","FI0007","FIESTA #9","Original Order","20310142","03/11/2014","72","6","474.00","03/11/2014","03/20/2014","CALL TO ROUTE","002613","068728","","","W","","PB-BI-3SS","EE","RGG225","","","",
"165","102280","03/12/2014","Billed","FI0001","FIESTA MART","FI0008","FIESTA #10","Original Order","20310142","03/11/2014","24","2","150.00","03/11/2014","03/20/2014","CALL TO ROUTE","002614","068728","","","W","","PB-BI-3SS","EE","RGG225","","","",
"166","102283","03/12/2014","Billed","FI0001","FIESTA MART","FI0009","FIESTA #11","Original Order","20310142","03/11/2014","72","6","474.00","03/11/2014","03/20/2014","CALL TO ROUTE","002615","068728","","","W","","PB-BI-3SS","EE","RGG225","","","",
"167","102286","03/12/2014","Billed","FI0001","FIESTA MART","FI0010","FIESTA#22","Original Order","20310142","03/11/2014","24","2","150.00","03/11/2014","03/20/2014","CALL TO ROUTE","002616","068728","","","W","","PB-BI-3SS","EE","RGG225","","","",
"168","102289","03/12/2014","Billed","FI0001","FIESTA MART","FI0011","FIESTA #23","Original Order","20310142","03/11/2014","48","4","324.00","03/11/2014","03/20/2014","CALL TO ROUTE","002617","068728","","","W","","PB-BI-3SS","EE","RGG225","","","",
"169","102292","03/12/2014","Billed","FI0001","FIESTA MART","FI0012","FIESTA #37","Original Order","20310142","03/11/2014","48","4","300.00","03/11/2014","03/20/2014","CALL TO ROUTE","002618","068728","","","W","","PB-BI-3SS","EE","RGG225","","","",
"170","102258","03/12/2014","Billed","FI0001","FIESTA MART","FI0001","FIESTA #2","Original Order","20310141","03/11/2014","48","6","312.00","03/11/2014","03/20/2014","CALL TO ROUTE","002619","068728","","","W","","PB-GI-2LS","EE","RGG225","","","",
"171","102261","03/12/2014","Billed","FI0001","FIESTA MART","FI0002","FIESTA #3","Original Order","20310141","03/11/2014","60","8","397.50","03/11/2014","03/20/2014","CALL TO ROUTE","002620","068728","","","W","","PB-GI-2LS","EE","RGG225","","","",
"172","102264","03/12/2014","Billed","FI0001","FIESTA MART","FI0003","FIESTA #4","Original Order","20310141","03/11/2014","60","8","394.50","03/11/2014","03/20/2014","CALL TO ROUTE","002621","068728","","","W","","PB-GI-2LS","EE","RGG225","","","",
"173","102254","03/12/2014","Billed","MA0001","THE MARMAXX GROUP","MA0887","MARSHALLS (ATLANTA)","Distro (from Bulk)","07 158244","03/11/2014","3708","309","22989.60","03/07/2014","03/17/2014","CALL TO ROUTE","002591","068137","03/11/2014","","W","","PB-G7-DRW","AF","RGG223","","","",
"174","102267","03/12/2014","Billed","FI0001","FIESTA MART","FI0004","FIESTA #5","Original Order","20310141","03/11/2014","60","8","397.50","03/11/2014","03/20/2014","CALL TO ROUTE","002622","068728","","","W","","PB-GI-2LS","EE","RGG225","","","",
"175","102270","03/12/2014","Billed","FI0001","FIESTA MART","FI0005","FIESTA #7","Original Order","20310141","03/11/2014","180","22","1162.50","03/11/2014","03/20/2014","CALL TO ROUTE","002623","068728","","","W","","PB-GI-2LS","EE","RGG225","","","",
"176","102273","03/12/2014","Billed","FI0001","FIESTA MART","FI0006","FIESTA #8","Original Order","20310141","03/11/2014","84","11","558.00","03/11/2014","03/20/2014","CALL TO ROUTE","002624","068728","","","W","","PB-GI-2LS","EE","RGG225","","","",
"177","102276","03/12/2014","Billed","FI0001","FIESTA MART","FI0007","FIESTA #9","Original Order","20310141","03/11/2014","72","9","463.50","03/11/2014","03/20/2014","CALL TO ROUTE","002625","068728","","","W","","PB-GI-2LS","EE","RGG225","","","",
"178","102279","03/12/2014","Billed","FI0001","FIESTA MART","FI0008","FIESTA #10","Original Order","20310141","03/11/2014","60","8","397.50","03/11/2014","03/20/2014","CALL TO ROUTE","002626","068728","","","W","","PB-GI-2LS","EE","RGG225","","","",
"179","102282","03/12/2014","Billed","FI0001","FIESTA MART","FI0009","FIESTA #11","Original Order","20310141","03/11/2014","84","11","558.00","03/11/2014","03/20/2014","CALL TO ROUTE","002627","068728","","","W","","PB-GI-2LS","EE","RGG225","","","",
"180","102285","03/12/2014","Billed","FI0001","FIESTA MART","FI0010","FIESTA#22","Original Order","20310141","03/11/2014","60","7","387.00","03/11/2014","03/20/2014","CALL TO ROUTE","002628","068728","","","W","","PB-GI-2LS","EE","RGG225","","","",
"181","102288","03/12/2014","Billed","FI0001","FIESTA MART","FI0011","FIESTA #23","Original Order","20310141","03/11/2014","60","8","397.50","03/11/2014","03/20/2014","CALL TO ROUTE","002629","068728","","","W","","PB-GI-2LS","EE","RGG225","","","",
"182","102291","03/12/2014","Billed","FI0001","FIESTA MART","FI0012","FIESTA #37","Original Order","20310141","03/11/2014","60","8","400.50","03/11/2014","03/20/2014","CALL TO ROUTE","002630","068728","","","W","","PB-GI-2LS","EE","RGG225","","","",
"183","102248","03/12/2014","Billed","BC0001","BLOOMINGDALES.COM","003583","BLOOMINGDALES.COM","EDI Order","3549582","02/20/2014","146","18","4884.00","03/03/2014","03/14/2014","CALL TO ROUTE","002631","342749","","","W","","PB-G7-DRW","AF","RGG220","","","",
"184","102249","03/12/2014","Billed","BC0001","BLOOMINGDALES.COM","003583","BLOOMINGDALES.COM","EDI Order","4266386","02/20/2014","97","12","3456.75","03/03/2014","03/14/2014","CALL TO ROUTE","002632","342750","","","W","","PB-G7-DRW","AF","RGG220","","","",
"185","102256","03/12/2014","Billed","ZU0001","ZULILY","001416","ZULILY","Distro (from Bulk)","78426-P0000LU2VO-6-1","03/12/2014","240","20","1170.00","03/12/2014","03/14/2014","UPSN-CALL TO ROUTE","002633","049664","","","W","","PB-BN-5PC","EE","RGG224","","","",
"186","102250","03/12/2014","Billed","HB0001","H.E.B. GROC CO","HB4040","H-E-B SAN MARCOS WAR","EDI Order","48X420279","03/10/2014","3288","274","12732.00","03/20/2014","03/20/2014","CALL TO ROUTE","002636","423840","","","W","","PB-GN-3BS","EE","RGG221","","","",
"187","102303","03/13/2014","Billed","LO0001","LORD AND TAYLOR","001528","LORD & TAYLOR #0199","EDI Order","955466770082","01/17/2014","54","9","648.00","02/17/2014","03/03/2014","VENDOR PORTAL","002681","420916","","","W","","PB-GI-2LS","AF","RGG227","","","",
