"Seq","Invoice No.","Invoice Date","Status","Bill-to","Bill-to Name","Ship-to","Ship-To Name","Order Type","Order No.","Order Date","Pieces*","Cartons*","Amount*`","Delivery Date","Cancel Date","Ship Via","Sales Order","Approval No.","Cxl/Void Date","Consolidator","Factor","Pick Ticket No.","Div/Dept/Class","Salesperson","Reference","Shipped Date","Store No","Must Arrive Date", 
"22","102167","03/03/2014","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Distro (from Bulk)","20027551","12/19/2013","       24","        2","       180.00","02/25/2014","03/07/2014","VENDOR PORTAL","001683","031793","","","W","","PB-G4-DRW","AF","RGG196","","","",
"23","102304","03/13/2014","Billed","HA0001","HART STORES","HA0001","HART STORES","Distro (from Bulk)","121725","12/20/2013","3240","270","21726.00","03/25/2014","03/30/2014","CALL TO ROUTE","001694","CBD","12/20/2013","","","","PB-B4-3SS","EE","RGG228","","","",
"24","102136","02/27/2014","Billed","KC0001","THE KROGER CO.","KC0002","PEYTONS PHOENIX (#50","Distro (from Bulk)","500-55166","11/06/2013","2232","186","9828.00","03/06/2014","03/06/2014","CALL TO ROUTE","001706","469661","12/24/2013","ADV","W","","PB-GN-2PS","EE","RGG182","","","",
"25","102115","02/27/2014","Billed","US0001","US MARINE CORPS","001404","US MARINE CORPS","Distro (from Bulk)","1033210","01/06/2014","48","4","312.00","12/01/2013","03/05/2014","CALL TO ROUTE","001807","591974  (Exp:07/31/2014)","","","W","","PB-BI-2PS","AF","RGG179","","","",
"26","102122","02/27/2014","Billed","US0001","US MARINE CORPS","001407","US MARINE CORPS","Distro (from Bulk)","1033211","01/06/2014","48","4","312.00","12/01/2013","03/05/2014","CALL TO ROUTE","001808","591974  (Exp:07/31/2014)","","","W","","PB-BI-2PS","AF","RGG179","","","",
"27","102127","02/27/2014","Billed","US0001","US MARINE CORPS","001409","US MARINE CORPS","Distro (from Bulk)","1033211","01/06/2014","48","4","312.00","12/01/2013","03/05/2014","CALL TO ROUTE","001809","591974  (Exp:07/31/2014)","","","W","","PB-BI-2PS","AF","RGG179","","","",
"28","102104","02/27/2014","Billed","US0001","US MARINE CORPS","001399","US MARINE CORPS","Distro (from Bulk)","1033211","01/06/2014","48","4","312.00","12/01/2013","03/05/2014","CALL TO ROUTE","001810","591974  (Exp:07/31/2014)","","","W","","PB-BI-2PS","AF","RGG179","","","",
"29","102108","02/27/2014","Billed","US0001","US MARINE CORPS","001401","US MARINE CORPS","Distro (from Bulk)","1033211","01/06/2014","48","4","312.00","12/01/2013","03/05/2014","CALL TO ROUTE","001811","591974  (Exp:07/31/2014)","","","W","","PB-BI-2PS","AF","RGG179","","","",
"30","102111","02/27/2014","Billed","US0001","US MARINE CORPS","001402","US MARINE CORPS","Distro (from Bulk)","1033211","01/06/2014","48","4","312.00","12/01/2013","03/05/2014","CALL TO ROUTE","001812","591974  (Exp:07/31/2014)","","","W","","PB-BI-2PS","AF","RGG179","","","",
"31","102116","02/27/2014","Billed","US0001","US MARINE CORPS","001404","US MARINE CORPS","Distro (from Bulk)","1033226","01/06/2014","48","4","336.00","12/01/2013","03/05/2014","CALL TO ROUTE","001826","591974","","","W","","PB-BT-2PS","AF","RGG179","","","",
"32","102118","02/27/2014","Billed","US0001","US MARINE CORPS","001405","US MARINE CORPS","Distro (from Bulk)","1033227","01/06/2014","48","4","336.00","12/01/2013","03/05/2014","CALL TO ROUTE","001827","591974","","","W","","PB-BT-2PS","AF","RGG179","","","",
"33","102123","02/27/2014","Billed","US0001","US MARINE CORPS","001407","US MARINE CORPS","Distro (from Bulk)","1033228","01/06/2014","48","4","336.00","12/01/2013","03/05/2014","CALL TO ROUTE","001828","591974","","","W","","PB-BT-2PS","AF","RGG179","","","",
"34","102125","02/27/2014","Billed","US0001","US MARINE CORPS","001408","US MARINE CORPS","Distro (from Bulk)","1033228","01/06/2014","48","4","336.00","12/01/2013","03/05/2014","CALL TO ROUTE","001829","591974","","","W","","PB-BT-2PS","AF","RGG179","","","",
"35","102128","02/27/2014","Billed","US0001","US MARINE CORPS","001409","US MARINE CORPS","Distro (from Bulk)","1033228","01/06/2014","48","4","336.00","12/01/2013","03/05/2014","CALL TO ROUTE","001830","591974","","","W","","PB-BT-2PS","AF","RGG179","","","",
"36","102130","02/27/2014","Billed","US0001","US MARINE CORPS","001411","US MARINE CORPS","Distro (from Bulk)","1033228","01/06/2014","48","4","336.00","12/01/2013","03/05/2014","CALL TO ROUTE","001831","591974","","","W","","PB-BT-2PS","AF","RGG179","","","",
"37","102105","02/27/2014","Billed","US0001","US MARINE CORPS","001399","US MARINE CORPS","Distro (from Bulk)","1033228","01/06/2014","48","4","336.00","12/01/2013","03/05/2014","CALL TO ROUTE","001832","591974","","","W","","PB-BT-2PS","AF","RGG179","","","",
"38","102107","02/27/2014","Billed","US0001","US MARINE CORPS","001400","US MARINE CORPS","Distro (from Bulk)","1033228","01/06/2014","24","2","168.00","12/01/2013","03/05/2014","CALL TO ROUTE","001833","591974","","","W","","PB-BT-2PS","AF","RGG179","","","",
"39","102109","02/27/2014","Billed","US0001","US MARINE CORPS","001401","US MARINE CORPS","Distro (from Bulk)","1033228","01/06/2014","48","4","336.00","12/01/2013","03/05/2014","CALL TO ROUTE","001834","591974","","","W","","PB-BT-2PS","AF","RGG179","","","",
"40","102112","02/27/2014","Billed","US0001","US MARINE CORPS","001402","US MARINE CORPS","Distro (from Bulk)","1033228","01/06/2014","48","4","336.00","12/01/2013","03/05/2014","CALL TO ROUTE","001835","591974","","","W","","PB-BT-2PS","AF","RGG179","","","",
"41","102114","02/27/2014","Billed","US0001","US MARINE CORPS","001403","US MARINE CORPS","Distro (from Bulk)","1033228","01/06/2014","24","2","168.00","12/01/2013","03/05/2014","CALL TO ROUTE","001836","591974","","","W","","PB-BT-2PS","AF","RGG179","","","",
"42","102120","02/27/2014","Billed","US0001","US MARINE CORPS","001406","US MARINE CORPS","Distro (from Bulk)","1033228","01/06/2014","48","4","336.00","12/01/2013","03/05/2014","CALL TO ROUTE","001837","591974","","","W","","PB-BT-2PS","AF","RGG179","","","",
"43","102124","02/27/2014","Billed","US0001","US MARINE CORPS","001407","US MARINE CORPS","Distro (from Bulk)","1033243","01/06/2014","48","4","360.00","12/01/2013","03/05/2014","CALL TO ROUTE","001849","591974","","","W","","PB-B4-2PS","AF","RGG179","","","",
"44","102126","02/27/2014","Billed","US0001","US MARINE CORPS","001408","US MARINE CORPS","Distro (from Bulk)","1033243","01/06/2014","48","4","360.00","12/01/2013","03/05/2014","CALL TO ROUTE","001850","591974","","","W","","PB-B4-2PS","AF","RGG179","","","",
"45","102129","02/27/2014","Billed","US0001","US MARINE CORPS","001409","US MARINE CORPS","Distro (from Bulk)","1033243","01/06/2014","48","4","360.00","12/01/2013","03/05/2014","CALL TO ROUTE","001851","591974","","","W","","PB-B4-2PS","AF","RGG179","","","",
"46","102131","02/27/2014","Billed","US0001","US MARINE CORPS","001411","US MARINE CORPS","Distro (from Bulk)","1033243","01/06/2014","48","4","360.00","12/01/2013","03/05/2014","CALL TO ROUTE","001852","591974","","","W","","PB-B4-2PS","AF","RGG179","","","",
"47","102106","02/27/2014","Billed","US0001","US MARINE CORPS","001399","US MARINE CORPS","Distro (from Bulk)","1033243","01/06/2014","48","4","360.00","12/01/2013","03/05/2014","CALL TO ROUTE","001853","591974","","","W","","PB-B4-2PS","AF","RGG179","","","",
"48","102110","02/27/2014","Billed","US0001","US MARINE CORPS","001401","US MARINE CORPS","Distro (from Bulk)","1033243","01/06/2014","48","4","360.00","12/01/2013","03/05/2014","CALL TO ROUTE","001854","591974","","","W","","PB-B4-2PS","AF","RGG179","","","",
"49","102113","02/27/2014","Billed","US0001","US MARINE CORPS","001402","US MARINE CORPS","Distro (from Bulk)","1033243","01/06/2014","48","4","360.00","12/01/2013","03/05/2014","CALL TO ROUTE","001855","591974","","","W","","PB-B4-2PS","AF","RGG179","","","",
"50","102121","02/27/2014","Billed","US0001","US MARINE CORPS","001406","US MARINE CORPS","Distro (from Bulk)","1033243","01/06/2014","48","4","360.00","12/01/2013","03/05/2014","CALL TO ROUTE","001856","591974","","","W","","PB-B4-2PS","AF","RGG179","","","",
"51","102119","02/27/2014","Billed","US0001","US MARINE CORPS","001405","US MARINE CORPS","Distro (from Bulk)","1033244","01/06/2014","48","4","360.00","12/01/2013","03/05/2014","CALL TO ROUTE","001857","591974","","","W","","PB-B4-2PS","AF","RGG179","","","",
"52","102117","02/27/2014","Billed","US0001","US MARINE CORPS","001404","US MARINE CORPS","Distro (from Bulk)","1033245","01/06/2014","48","4","360.00","12/01/2013","03/05/2014","CALL TO ROUTE","001859","591974","","","W","","PB-B4-2PS","AF","RGG179","","","",
"53","101439","01/14/2014","Billed","NE0001","NEVERLAND","NE0001","NEVERLAND","Original Order","101713","10/17/2013","300","25","1794.00","12/30/2013","01/30/2014","CALL TO ROUTE","001102","NONE","","","","","PB-BN-5PC","EE","RGG110","","","",
"54","101462","01/16/2014","Billed","LT0001","LTD COMMODITIES LLC","LT0001","LTD COMMODITIES LLC","Original Order","KLB01091401","01/15/2014","144","12","1080.00","01/15/2014","01/27/2014","CALL TO ROUTE","001892","889955","","","W","","PB-GN-4PC","EE","RGG113","","","",
"55","101931","02/14/2014","Billed","MM0001","9 MOIS MATERNITY","MM0001","9 MOIS MATERNITY  C/","Original Order","SPRING14","01/16/2014","162","27","1389.30","01/15/2014","04/25/2014","FEDEX","001901","IN HOUSE D","","","W","","PB-BI-2SS","BB","RGG149","","","",
"56","102300","03/12/2014","Billed","TO0002","TOMLINSONS","TO0002","TOMLINSONS","Back-Order","11440","01/16/2014","36","6","279.00","02/01/2014","03/25/2014","FEDEX GROUND","001902","893252","","","W","","PB-G7-DRK","EE","RGG226","","","",
"57","102132","02/27/2014","Billed","AZ0001","AMAZON.COM","000020","AMAZON.COM","Distro (from Bulk)","45AQULJB","01/23/2014","1152","192","16704.00","02/25/2014","03/05/2014","VENDOR PORTAL","001919","LINE3","","","W","","PB-GI-2LS","EE","RGG180","","","",
"58","101960","02/18/2014","Billed","AZ0001","AMAZON.COM","000020","AMAZON.COM","Distro (from Bulk)","5YDE63JV","01/23/2014","2268","189","23346.00","02/25/2014","03/05/2014","VENDOR PORTAL","001922","908401","","","W","","PB-GN-8PS","EE","RGG155","","","",
"59","101904","02/11/2014","Billed","ZU0001","ZULILY","001416","ZULILY","Original Order","7001-P0000IUNTC-6-1S","01/23/2014","60","5","462.00","01/23/2014","01/23/2014","CALL TO ROUTE","001924","913757","","","W","","PB-BI-2PS","EE","RGG139","","","",
"60","101961","02/18/2014","Billed","AZ0001","AMAZON.COM","000020","AMAZON.COM","Distro (from Bulk)","X1892214","01/24/2014","1248","104","10513.20","02/25/2014","03/05/2014","VENDOR PORTAL","001925","908399","","","W","","PB-GN-3BS","EE","RGG155","","","",
"61","102133","02/27/2014","Billed","AZ0001","AMAZON.COM","000020","AMAZON.COM","Distro (from Bulk)","W9648860","01/24/2014","948","79","8199.60","02/25/2014","03/05/2014","VENDOR PORTAL","001926","Line3","","","W","","PB-GI-ROM","EE","RGG180","","","",
"62","102134","02/27/2014","Billed","AZ0001","AMAZON.COM","000027","AMAZON.COM","Distro (from Bulk)","Z6959022","01/24/2014","1896","158","24915.00","02/25/2014","03/07/2014","VENDOR PORTAL","001927","line3","","","W","","PB-BT-2PS","EE","RGG180","","","",
"63","101696","01/31/2014","Billed","JS0002","J AND S KIDSWEAR","JS0002","J AND S  KIDSWEAR #","Original Order","83615","09/19/2013","408","68","6018.00","02/01/2014","02/15/2014","CALL TO ROUTE","000794","884198","","","W","","PB-GT-2LS","EE","RGG126","","","",
"64","101713","02/04/2014","Billed","ZU0001","ZULILY","001416","ZULILY","Original Order","70745-P0000JNDOC6-2B","02/04/2014","       24","        2","       108.00","01/27/2014","01/31/2014","CALL TO ROUTE","002151","931385","","","W","","PB-BN-3BS","EE","RGG130","","","",
"65","101730","02/05/2014","Billed","ZU0001","ZULILY","001416","ZULILY","Original Order","70745-P0000JNDOC-62C","02/05/2014","       48","        4","       216.00","02/05/2014","02/05/2014","CALL TO ROUTE","002152","931385","","","W","","PB-BN-3BS","EE","RGG133","","","",
"66","101733","02/10/2014","Billed","ZU0001","ZULILY","001412","ZULILY","Distro (from Bulk)","73397-P0000K7BN4-6-1","02/05/2014","636","53","3957.00","02/05/2014","02/07/2014","CALL TO ROUTE","002153","936670","","","W","","PB-GN-4PC","EE","RGG135","","","",
"67","101959","02/18/2014","Billed","AZ0001","AMAZON.COM","000020","AMAZON.COM","Distro (from Bulk)","5WMO5LOP","02/05/2014","582","97","8730.00","02/25/2014","03/05/2014","VENDOR PORTAL","002160","Line3","","","W","","PB-GT-DRS","EE","RGG155","","","",
"68","101958","02/18/2014","Billed","AZ0001","AMAZON.COM","000020","AMAZON.COM","Distro (from Bulk)","5FDAG22E","02/05/2014","696","58","10440.00","02/25/2014","03/05/2014","VENDOR PORTAL","002161","Line3","","","W","","PB-G7-DRW","EE","RGG155","","","",
"69","101734","02/10/2014","Billed","ZU0001","ZULILY","001416","ZULILY","Distro (from Bulk)","69978-P0000KA6HC-6-1","02/06/2014","220","22","1760.00","02/06/2014","02/11/2014","CALL TO ROUTE","002162","961686","","","W","","PB-GI-DRW","EE","RGG135","","","",
"70","101899","02/11/2014","Billed","LS0001","LES MODES JM","LS0001","LES MODES JM","Original Order","4891","02/06/2014","144","12","1098.00","01/01/2014","05/15/2014","FEDX-FEDERAL EX","002167","956520","","","W","","PB-BI-2SL","BB","RGG139","","","",
"71","102143","02/27/2014","Billed","MC0001","MODECRAFT","000691","MODECRAFT FASHIONS","Distro (from Bulk)","118108803","02/10/2014","      408","       34","     2,284.80","03/10/2014","03/14/2014","VENDOR PORTAL","002349","592722","","","W","","PB-B4-2SS","AF","RGG188","","","",
"72","102144","02/27/2014","Billed","MC0001","MODECRAFT","000691","MODECRAFT FASHIONS","Distro (from Bulk)","118108804","02/10/2014","      408","       34","     2,284.80","03/10/2014","03/14/2014","VENDOR PORTAL","002350","592722","","","W","","PB-B4-2SS","AF","RGG188","","","",
"73","101921","02/14/2014","Billed","AZ0002","MY HABIT","AZ0002","MY HABIT RECEIVING","Distro (from Bulk)","6NU2V6DI","02/11/2014","       24","        2","       360.00","02/10/2014","03/25/2014","CALL TO ROUTE","002370","line3","","","W","","PB-G7-DRW","EE","RGG148","","","",
