"Seq","Invoice No.","Invoice Date","Status","Bill-to","Bill-to Name","Ship-to","Ship-To Name","Order Type","Order No.","Order Date","Pieces*","Cartons*","Amount*`","Delivery Date","Cancel Date","Ship Via","Cxl/Void Date","Consolidator","Approval No.","Sales Order","Factor","Div/Dept/Class","Salesperson","Reference","Shipped Date","Store No","Must Arrive Date","Rank", 
"22","100989","10/25/2013","Billed","GB0001","GABRIEL BROTHERS","GB0001","GABRIEL BROTHERS","Original Order","100-0000261916 KS","06/28/2013","1080","90","5400.00","12/02/2013","12/06/2013","CALL TO ROUTE","","","382698","000131","W","PB-BI-3PS","AF","RGG036","","","","",
"23","100996","10/25/2013","Billed","ST0001","STAGE STORES INC","000707","SPECIALTY RETAILORS","Original Order","20024498","10/16/2013","       48","        8","       216.00","10/26/2013","11/01/2013","VENDOR PORTAL","","","591202","001091","W","PB-GN-2SS","AF","RGG036","","","","",
"24","101044","10/30/2013","Billed","DC0001","DC DB","DC0001","DC DB","Original Order","1815","10/16/2013","258","43","1873.50","10/18/2013","10/25/2013","FEDEX","","","CC","001088","","PB-BN-000","EE","RGG047","","","","",
"25","101045","10/31/2013","Billed","DS0001","DIRECT SUPPLIES","DS0001","DIRECT SUPPLIES","Original Order","DIRECT13043015140","05/02/2013","1578","263","13482.00","10/01/2013","10/15/2013","DIRECT","","","","000090","","PB-GI-DRK","EE","RZZ010","","","","",
"26","101063","11/01/2013","Billed","NS0001","NORDSTROMS","NS0001","NORDSTROM DIRECT","Original Order","6256408","10/24/2013","       18","        2","       617.40","11/20/2013","11/27/2013","SURFACE","","","652758","001138","W","PB-G7-DRW","EE","RGG052","","","","",
"27","101064","11/04/2013","Billed","GO0001","GONZALEZ ASSOCIATES","GO0001","GONZALEZ ASSOCIATES","Original Order","COS-3816","08/28/2013","108","18","1188.00","09/20/2013","10/10/2013","CALL TO ROUTE","","","569755","000452","W","PB-GI-DRW","EE","RGG053","","","","",
"28","101065","11/04/2013","Billed","GO0001","GONZALEZ ASSOCIATES","GO0001","GONZALEZ ASSOCIATES","Original Order","GUA-3814","08/28/2013","312","52","3420.00","09/20/2013","10/10/2013","CALL TO ROUTE","09/04/2013","","569755","000451","W","PB-GI-DRW","EE","RGG053","","","","",
"29","101066","11/04/2013","Billed","GO0001","GONZALEZ ASSOCIATES","GO0001","GONZALEZ ASSOCIATES","Original Order","NIC-3815","08/28/2013","216","36","2376.00","09/20/2013","10/10/2013","CALL TO ROUTE","","","569755","000450","W","PB-GI-DRW","EE","RGG053","","","","",
"30","101067","11/04/2013","Billed","GO0001","GONZALEZ ASSOCIATES","GO0001","GONZALEZ ASSOCIATES","Original Order","SAL-3813","08/28/2013","456","76","5040.00","09/20/2013","10/10/2013","CALL TO ROUTE","09/04/2013","","569755","000449","W","PB-GI-DRW","EE","RGG053","","","","",
"31","101078","11/05/2013","Billed","TJ0001","TJ MAXX","TJ0899","TJ MAXX","Original Order","30 919798","11/04/2013","1242","164","4657.50","11/05/2013","11/12/2013","CALL TO ROUTE","","","654420","001235","W","PB-BI-2PJ","AF","RGG058","","","","",
